Design Study 1
Scenarios/Iterations:, 128
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128
Max Stress 1,Monitor Only, N/m^2,1.947e+09,5.421e+09,1.059e+09,1.572e+09,1.466e+09,3.198e+09,1.647e+09,1.449e+09,2.477e+08,Simulation Eccentric Stiffness (3) fails.,1.293e+09,1.050e+09,3.719e+08,1.138e+09,6.203e+08,1.244e+09,4.208e+09,1.776e+09,1.863e+08,1.201e+09,1.507e+09,5.437e+08,1.110e+09,7.794e+08,6.265e+08,1.833e+09,1.009e+09,1.359e+09,4.305e+08,1.743e+09,2.867e+08,3.348e+08,1.080e+09,1.256e+09,2.218e+09,3.925e+08,2.716e+09,1.130e+09,5.284e+09,1.206e+09,9.926e+08,2.499e+09,5.714e+08,1.016e+09,2.190e+09,1.066e+09,2.860e+09,2.252e+09,Simulation Eccentric Stiffness (3) fails.,1.672e+09,1.183e+09,1.078e+09,4.300e+09,5.374e+08,1.258e+09,1.333e+09,1.965e+09,5.693e+09,7.689e+08,5.106e+09,1.510e+09,1.162e+09,1.439e+09,3.381e+08,3.067e+09,8.489e+09,1.710e+09,3.626e+08,1.491e+09,1.796e+09,1.635e+09,1.640e+09,1.402e+09,1.272e+09,3.839e+08,1.508e+09,1.309e+09,1.632e+09,1.572e+09,1.086e+09,1.412e+09,1.967e+09,2.324e+09,1.598e+09,1.434e+09,1.215e+09,1.674e+09,1.134e+09,Simulation Eccentric Stiffness (3) fails.,2.215e+09,1.389e+09,3.891e+08,1.286e+09,7.878e+08,4.310e+08,1.812e+09,5.123e+09,1.196e+09,1.900e+09,6.897e+08,1.326e+09,1.174e+09,1.696e+09,6.873e+08,2.640e+09,1.507e+09,1.067e+09,5.792e+10,1.436e+09,Simulation Eccentric Stiffness (3) fails.,5.384e+08,1.655e+09,9.345e+08,1.157e+10,1.008e+09,1.473e+09,9.555e+08,3.108e+08,1.291e+09,2.980e+09,8.200e+09,1.865e+09,1.148e+09,1.026e+09,1.037e+09,7.245e+09,1.706e+09,2.874e+08,1.123e+09
Min FS 3,Monitor Only,,6.381e-01,2.593e-01,7.457e-01,9.365e-01,1.438e+00,4.869e-01,1.377e+00,9.344e-01,2.560e+00,Simulation Eccentric Stiffness (3) fails.,1.054e+00,1.288e+00,1.355e+00,2.063e+00,8.237e-01,4.309e-01,4.225e-01,1.333e+00,1.890e+00,7.730e-01,8.781e-01,1.322e+00,8.811e-01,1.971e+00,1.798e+00,6.448e-01,1.429e+00,9.340e-01,9.268e-01,7.931e-01,1.703e+00,7.884e-01,1.262e+00,8.107e-01,1.226e+00,8.889e-01,3.722e-01,1.212e+00,5.355e-01,1.062e+00,8.792e-01,5.247e-01,5.666e-01,1.284e+00,1.128e+00,2.220e+00,4.644e-01,7.141e-01,Simulation Eccentric Stiffness (3) fails.,8.420e-01,1.081e+00,1.275e+00,4.105e-01,1.332e+00,9.984e-01,9.426e-01,6.469e-01,6.737e-01,1.496e+00,2.552e-01,8.606e-01,2.085e+00,1.663e+00,1.471e+00,1.847e+00,2.433e-01,3.860e-01,1.209e+00,9.633e-01,1.319e+00,7.947e-01,8.660e-01,9.251e-01,1.011e+00,1.498e+00,8.512e-01,1.995e+00,7.985e-01,6.150e-01,1.143e+00,8.216e-01,9.063e-01,5.708e-01,3.657e-01,8.099e-01,1.963e+00,7.928e-01,1.260e+00,Simulation Eccentric Stiffness (3) fails.,6.440e-01,5.823e-01,1.164e+00,1.035e+00,1.709e+00,9.882e-01,9.303e-01,7.839e-01,2.716e+00,1.214e+00,7.038e-01,1.640e+00,1.088e+00,6.318e-01,7.272e-01,1.149e+00,7.383e-01,2.246e+00,1.468e-02,9.967e-01,Simulation Eccentric Stiffness (3) fails.,6.562e-01,7.627e-01,7.214e-01,1.740e-01,1.254e+00,7.396e-01,2.799e+00,1.704e+00,6.885e-01,4.320e-01,2.408e-01,7.428e-01,1.034e+00,1.113e+00,1.277e+00,3.439e-01,1.434e+00,4.512e-01,2.168e+00
Max Stress 3,Monitor Only, N/m^2,7.209e+08,1.774e+09,6.168e+08,4.912e+08,3.200e+08,9.447e+08,6.010e+08,4.923e+08,3.232e+08,Simulation Eccentric Stiffness (3) fails.,4.366e+08,3.571e+08,6.106e+08,4.010e+08,5.584e+08,6.382e+08,1.089e+09,6.205e+08,2.433e+08,5.951e+08,5.238e+08,3.480e+08,5.221e+08,4.198e+08,4.602e+08,7.133e+08,3.218e+08,4.925e+08,4.964e+08,5.800e+08,2.701e+08,5.835e+08,3.645e+08,5.674e+08,6.750e+08,5.175e+08,1.236e+09,3.794e+08,1.545e+09,4.333e+08,5.232e+08,8.767e+08,8.118e+08,3.584e+08,7.335e+08,3.728e+08,9.905e+08,6.442e+08,Simulation Eccentric Stiffness (3) fails.,5.463e+08,4.256e+08,3.609e+08,1.120e+09,6.212e+08,4.608e+08,4.880e+08,7.110e+08,6.828e+08,3.076e+08,1.802e+09,5.345e+08,3.968e+08,4.977e+08,3.126e+08,4.479e+08,1.890e+09,1.192e+09,3.805e+08,4.775e+08,6.273e+08,5.789e+08,5.312e+08,4.973e+08,4.550e+08,3.070e+08,5.404e+08,4.147e+08,5.760e+08,7.480e+08,4.024e+08,5.599e+08,5.076e+08,8.060e+08,7.520e+08,5.680e+08,4.214e+08,5.803e+08,3.652e+08,Simulation Eccentric Stiffness (3) fails.,7.142e+08,7.900e+08,3.953e+08,4.445e+08,2.692e+08,4.655e+08,8.893e+08,1.055e+09,3.046e+08,3.790e+08,6.536e+08,5.046e+08,4.227e+08,7.281e+08,6.325e+08,4.004e+08,6.231e+08,3.684e+08,3.134e+10,4.615e+08,Simulation Eccentric Stiffness (3) fails.,4.191e+08,6.031e+08,6.377e+08,2.643e+09,3.670e+08,6.220e+08,2.956e+08,2.699e+08,6.681e+08,1.065e+09,1.910e+09,6.193e+08,4.450e+08,4.131e+08,6.480e+08,1.338e+09,5.770e+08,6.095e+08,3.816e+08
Mass,Monitor Only, kg,4.72,4.5,5.34,4.25,5.4,6.36,3.04,4.03,2.82,Simulation Eccentric Stiffness (3) fails.,3.98,4.4,3.29,2.56,2.89,1.66,3.62,2.19,6.94,5.12,3.91,5.12,6.82,2.86,2.78,5.66,4.61,5.75,5.08,4.59,6.28,3.97,5.38,5.22,2.26,4.6,2.41,5.45,2.56,5.35,2.9,3.49,4.91,5.26,2.23,2.94,2.87,3.83,Simulation Eccentric Stiffness (3) fails.,3.75,5.43,5.01,6.11,2.69,4.75,3.98,4.34,6.24,5.33,3.78,4.63,2.87,2.5,2.93,2.82,3.76,3.48,6.12,5.14,2.77,3.92,5.36,4.48,5.96,5.71,4.19,2.87,5.38,5.49,6.24,3.59,2.78,3.37,1.7,8.48,2.97,4.62,4.17,Simulation Eccentric Stiffness (3) fails.,4.87,2.35,4.09,4.8,5.81,3.61,3.54,2.58,2.66,5.47,2.34,4.22,5.55,4.09,4.3,5.07,6.04,3.14,4.63,4.82,Simulation Eccentric Stiffness (3) fails.,1.28,4.55,2.84,4.45,7.45,5.75,3.62,5.72,5.5,4.1,3.04,6.83,4.89,3.78,2.83,3.49,2.34,1.44,2.62
Dropout X Displacement,Monitor Only, m,2.916e-02,2.518e-02,1.034e-02,1.537e-02,1.071e-02,1.336e-02,3.870e-02,1.940e-02,-5.606e-03,Simulation Eccentric Stiffness (3) fails.,1.448e-02,1.112e-02,-5.326e-03,2.710e-02,-9.555e-03,5.258e-02,-4.318e-03,5.381e-02,-2.145e-03,-5.665e-03,2.105e-02,-2.607e-03,1.175e-02,-7.082e-03,-1.203e-02,2.615e-02,1.178e-02,1.705e-02,-5.861e-03,2.373e-02,-2.175e-03,-3.936e-03,1.121e-02,-3.377e-03,4.000e-02,-4.549e-03,2.549e-02,1.119e-02,7.992e-02,1.217e-02,-9.268e-03,3.155e-02,-8.309e-03,1.106e-02,5.502e-02,2.507e-02,3.140e-02,2.007e-02,Simulation Eccentric Stiffness (3) fails.,2.383e-02,1.369e-02,1.069e-02,2.607e-02,-1.112e-02,1.256e-02,1.385e-02,2.633e-02,1.711e-02,-3.637e-03,6.724e-02,2.116e-02,2.781e-02,3.787e-02,-3.579e-03,-1.219e-02,2.571e-02,2.194e-02,-3.673e-03,1.693e-02,4.328e-02,2.112e-02,2.892e-02,1.366e-02,1.832e-02,-3.073e-03,1.807e-02,2.779e-02,1.917e-02,1.954e-02,1.178e-02,1.845e-02,2.067e-02,3.318e-02,-1.180e-02,1.534e-02,2.681e-02,1.621e-02,-4.617e-03,Simulation Eccentric Stiffness (3) fails.,-5.715e-03,-1.096e-02,-3.857e-03,1.633e-02,8.374e-03,-5.234e-03,2.430e-02,2.921e-02,1.909e-02,1.405e-02,-7.564e-03,3.157e-02,1.504e-02,2.156e-02,-1.050e-02,1.298e-02,1.178e-02,2.299e-02,2.422e-02,1.680e-02,Simulation Eccentric Stiffness (3) fails.,-1.569e-02,2.276e-02,-5.696e-03,1.632e-02,9.937e-03,2.241e-02,1.939e-02,-3.568e-03,1.470e-02,3.797e-02,3.538e-02,1.303e-02,1.318e-02,-5.345e-03,2.612e-02,2.851e-02,4.061e-02,-8.465e-03,3.184e-02
Dropout Y Displacement,Monitor Only, m,-6.198e-02,-5.369e-02,-1.999e-02,-3.056e-02,-1.846e-02,-2.888e-02,-7.654e-02,-3.732e-02,1.157e-02,Simulation Eccentric Stiffness (3) fails.,-2.576e-02,-1.988e-02,1.218e-02,-5.013e-02,1.568e-02,-8.486e-02,7.032e-03,-1.061e-01,4.293e-03,1.097e-02,-3.929e-02,4.887e-03,-2.353e-02,1.581e-02,2.058e-02,-4.897e-02,-1.818e-02,-3.819e-02,1.058e-02,-4.076e-02,3.467e-03,7.989e-03,-2.136e-02,6.175e-03,-7.704e-02,1.020e-02,-5.604e-02,-1.914e-02,-1.579e-01,-2.522e-02,1.485e-02,-5.910e-02,1.782e-02,-1.942e-02,-9.583e-02,-4.562e-02,-7.478e-02,-4.595e-02,Simulation Eccentric Stiffness (3) fails.,-4.309e-02,-2.635e-02,-1.812e-02,-6.464e-02,2.233e-02,-2.764e-02,-3.045e-02,-5.392e-02,-4.076e-02,5.007e-03,-1.377e-01,-4.074e-02,-4.977e-02,-6.972e-02,4.222e-03,1.867e-02,-5.131e-02,-4.667e-02,6.448e-03,-3.313e-02,-8.244e-02,-4.195e-02,-4.515e-02,-2.569e-02,-3.266e-02,4.870e-03,-3.287e-02,-4.437e-02,-4.038e-02,-4.005e-02,-2.305e-02,-3.865e-02,-3.624e-02,-5.973e-02,1.969e-02,-4.200e-02,-5.151e-02,-2.541e-02,8.261e-03,Simulation Eccentric Stiffness (3) fails.,8.696e-03,1.502e-02,5.327e-03,-2.852e-02,-1.310e-02,7.662e-03,-4.802e-02,-5.580e-02,-3.459e-02,-2.533e-02,1.312e-02,-7.485e-02,-2.933e-02,-4.799e-02,1.884e-02,-2.688e-02,-2.713e-02,-3.818e-02,-4.867e-02,-2.909e-02,Simulation Eccentric Stiffness (3) fails.,2.401e-02,-4.535e-02,8.983e-03,-3.311e-02,-2.162e-02,-4.433e-02,-2.997e-02,5.726e-03,-2.946e-02,-8.288e-02,-7.807e-02,-2.856e-02,-3.251e-02,9.110e-03,-5.566e-02,-6.217e-02,-7.827e-02,1.414e-02,-5.331e-02
BB X Displacement,Monitor Only, m,3.419e-02,3.014e-02,1.272e-02,1.841e-02,1.272e-02,1.631e-02,4.578e-02,2.307e-02,-6.249e-03,Simulation Eccentric Stiffness (3) fails.,1.744e-02,1.352e-02,-5.806e-03,3.264e-02,-1.038e-02,6.183e-02,-4.896e-03,6.375e-02,-2.290e-03,-6.048e-03,2.448e-02,-2.302e-03,1.420e-02,-7.841e-03,-1.174e-02,3.118e-02,1.391e-02,2.066e-02,-6.267e-03,2.812e-02,-2.385e-03,-4.141e-03,1.358e-02,-3.658e-03,4.845e-02,-4.993e-03,3.068e-02,1.331e-02,9.498e-02,1.470e-02,-1.007e-02,3.674e-02,-9.102e-03,1.348e-02,6.529e-02,2.957e-02,3.789e-02,2.450e-02,Simulation Eccentric Stiffness (3) fails.,2.818e-02,1.630e-02,1.268e-02,3.133e-02,-1.229e-02,1.511e-02,1.675e-02,3.163e-02,2.085e-02,-3.645e-03,7.984e-02,2.530e-02,3.340e-02,4.469e-02,-3.665e-03,-1.279e-02,3.160e-02,2.672e-02,-3.989e-03,2.044e-02,5.089e-02,2.524e-02,3.256e-02,1.637e-02,2.159e-02,-3.282e-03,2.153e-02,3.290e-02,2.306e-02,2.362e-02,1.418e-02,2.227e-02,2.478e-02,3.920e-02,-1.288e-02,1.866e-02,3.192e-02,1.902e-02,-5.124e-03,Simulation Eccentric Stiffness (3) fails.,-5.672e-03,-1.071e-02,-3.738e-03,1.957e-02,1.014e-02,-5.293e-03,2.930e-02,3.543e-02,2.283e-02,1.683e-02,-6.994e-03,3.771e-02,1.786e-02,2.573e-02,-1.115e-02,1.574e-02,1.448e-02,2.709e-02,2.865e-02,1.989e-02,Simulation Eccentric Stiffness (3) fails.,-1.573e-02,2.714e-02,-5.716e-03,2.006e-02,1.209e-02,2.633e-02,2.300e-02,-3.922e-03,1.761e-02,4.500e-02,4.206e-02,1.596e-02,1.603e-02,-5.337e-03,3.113e-02,3.517e-02,4.915e-02,-9.142e-03,3.790e-02
BB Y Displacement,Monitor Only, m,-3.635e-02,-3.115e-02,-1.144e-02,-1.632e-02,-8.567e-03,-1.592e-02,-4.252e-02,-1.796e-02,6.661e-03,Simulation Eccentric Stiffness (3) fails.,-1.255e-02,-9.634e-03,7.304e-03,-2.620e-02,7.867e-03,-3.988e-02,3.385e-03,-5.552e-02,2.405e-03,6.374e-03,-2.180e-02,2.650e-03,-1.268e-02,9.197e-03,1.114e-02,-2.578e-02,-8.062e-03,-2.119e-02,5.897e-03,-1.992e-02,1.726e-03,4.535e-03,-1.024e-02,3.019e-03,-4.073e-02,5.987e-03,-3.061e-02,-9.131e-03,-8.416e-02,-1.371e-02,7.068e-03,-3.072e-02,1.068e-02,-9.944e-03,-4.632e-02,-2.366e-02,-4.212e-02,-2.523e-02,Simulation Eccentric Stiffness (3) fails.,-2.012e-02,-1.428e-02,-8.504e-03,-3.607e-02,1.238e-02,-1.523e-02,-1.672e-02,-2.892e-02,-2.288e-02,2.443e-03,-7.683e-02,-2.192e-02,-2.482e-02,-3.508e-02,1.841e-03,8.492e-03,-2.680e-02,-2.632e-02,3.420e-03,-1.773e-02,-4.367e-02,-2.212e-02,-2.092e-02,-1.350e-02,-1.677e-02,2.247e-03,-1.774e-02,-1.960e-02,-2.151e-02,-2.177e-02,-1.244e-02,-2.190e-02,-1.626e-02,-3.079e-02,1.047e-02,-2.619e-02,-2.640e-02,-1.241e-02,4.165e-03,Simulation Eccentric Stiffness (3) fails.,4.018e-03,7.324e-03,2.641e-03,-1.461e-02,-5.432e-03,3.983e-03,-2.556e-02,-2.899e-02,-1.596e-02,-1.308e-02,6.712e-03,-4.493e-02,-1.605e-02,-2.677e-02,9.540e-03,-1.390e-02,-1.543e-02,-1.920e-02,-2.672e-02,-1.325e-02,Simulation Eccentric Stiffness (3) fails.,1.068e-02,-2.511e-02,4.894e-03,-1.787e-02,-1.205e-02,-2.576e-02,-1.267e-02,2.777e-03,-1.636e-02,-4.648e-02,-4.430e-02,-1.537e-02,-1.939e-02,3.945e-03,-2.959e-02,-3.418e-02,-4.109e-02,7.116e-03,-2.667e-02
BB Z Displacement,Monitor Only, m,2.085e-03,1.722e-03,1.027e-03,9.326e-04,8.188e-04,1.052e-03,1.727e-03,2.759e-03,2.816e-03,Simulation Eccentric Stiffness (3) fails.,1.249e-03,1.622e-03,1.879e-03,2.556e-03,2.075e-03,4.779e-03,1.569e-03,2.886e-03,3.321e-04,1.101e-03,3.102e-03,6.231e-04,1.144e-03,2.067e-03,1.754e-03,1.461e-03,6.922e-04,1.398e-03,8.387e-04,1.064e-03,5.617e-04,9.568e-04,1.328e-03,9.163e-04,2.604e-03,9.508e-04,2.884e-03,9.545e-04,2.804e-03,7.125e-04,1.713e-03,1.102e-03,1.221e-03,7.611e-04,2.656e-03,1.644e-03,4.186e-03,1.474e-03,Simulation Eccentric Stiffness (3) fails.,1.801e-03,6.774e-04,8.490e-04,1.822e-03,1.325e-03,9.567e-04,1.774e-03,3.868e-03,1.650e-03,5.797e-04,1.596e-03,1.195e-03,2.192e-03,2.212e-03,8.498e-04,1.820e-03,1.416e-03,1.606e-03,8.132e-04,1.029e-03,3.233e-03,1.027e-03,1.451e-03,1.129e-03,1.028e-03,7.543e-04,9.237e-04,1.307e-03,1.369e-03,1.516e-03,8.798e-04,2.977e-03,1.446e-03,1.517e-03,1.238e-03,8.523e-04,1.896e-03,9.201e-04,1.155e-03,Simulation Eccentric Stiffness (3) fails.,9.302e-04,1.432e-03,6.450e-04,2.117e-03,1.095e-03,8.411e-04,2.129e-03,3.834e-03,2.052e-03,1.251e-03,2.149e-03,2.199e-03,1.047e-03,1.398e-03,1.660e-03,1.252e-03,1.380e-03,1.176e-03,8.771e-04,1.019e-03,Simulation Eccentric Stiffness (3) fails.,2.197e-03,1.053e-03,1.371e-03,1.532e-03,9.762e-04,1.171e-03,1.575e-03,8.145e-04,8.352e-04,1.285e-03,1.752e-03,1.082e-03,1.170e-03,1.849e-03,2.186e-03,2.084e-03,2.474e-03,1.964e-03,2.329e-03
BBR Y Displacement,Monitor Only, m,-1.377e-02,-1.201e-02,-4.480e-03,-6.070e-03,-2.947e-03,-5.973e-03,-1.581e-02,-6.286e-03,-9.545e-03,Simulation Eccentric Stiffness (3) fails.,-4.465e-03,-3.480e-03,-1.056e-02,-9.631e-03,-6.866e-03,-1.405e-02,-2.841e-03,-1.994e-02,-3.016e-03,-8.111e-03,-8.289e-03,-3.511e-03,-4.735e-03,-1.182e-02,-1.191e-02,-9.349e-03,-2.731e-03,-7.914e-03,-6.591e-03,-6.859e-03,-1.526e-03,-6.161e-03,-3.627e-03,-3.000e-03,-1.499e-02,-7.464e-03,-1.170e-02,-3.170e-03,-3.055e-02,-5.047e-03,-5.744e-03,-1.100e-02,-1.480e-02,-3.647e-03,-1.596e-02,-8.550e-03,-1.600e-02,-9.548e-03,Simulation Eccentric Stiffness (3) fails.,-6.842e-03,-5.258e-03,-2.947e-03,-1.356e-02,-1.371e-02,-5.706e-03,-6.292e-03,-1.069e-02,-8.616e-03,-1.978e-03,-2.834e-02,-8.057e-03,-8.851e-03,-1.247e-02,-1.364e-03,-6.117e-03,-9.851e-03,-9.988e-03,-3.359e-03,-6.531e-03,-1.585e-02,-8.025e-03,-6.963e-03,-4.966e-03,-6.022e-03,-1.840e-03,-6.559e-03,-6.459e-03,-7.822e-03,-8.120e-03,-4.630e-03,-8.480e-03,-5.484e-03,-1.094e-02,-1.061e-02,-1.034e-02,-9.473e-03,-4.376e-03,-3.840e-03,Simulation Eccentric Stiffness (3) fails.,-3.736e-03,-6.445e-03,-2.596e-03,-5.309e-03,-1.846e-03,-4.449e-03,-9.570e-03,-1.076e-02,-5.491e-03,-4.773e-03,-7.609e-03,-1.757e-02,-5.962e-03,-1.001e-02,-8.334e-03,-5.058e-03,-5.921e-03,-6.871e-03,-9.813e-03,-4.395e-03,Simulation Eccentric Stiffness (3) fails.,-8.387e-03,-9.371e-03,-5.526e-03,-6.779e-03,-4.562e-03,-9.874e-03,-4.125e-03,-2.378e-03,-6.096e-03,-1.725e-02,-1.705e-02,-5.691e-03,-7.580e-03,-3.220e-03,-1.100e-02,-1.285e-02,-1.496e-02,-7.144e-03,-9.609e-03
BBL Y Displacement,Monitor Only, m,-1.297e-02,-1.136e-02,-4.032e-03,-5.673e-03,-2.677e-03,-5.643e-03,-1.516e-02,-5.690e-03,-8.690e-03,Simulation Eccentric Stiffness (3) fails.,-4.019e-03,-3.034e-03,-1.001e-02,-8.797e-03,-6.196e-03,-1.170e-02,-2.427e-03,-1.900e-02,-2.878e-03,-7.724e-03,-7.603e-03,-3.194e-03,-4.388e-03,-1.106e-02,-1.113e-02,-8.888e-03,-2.459e-03,-7.469e-03,-6.262e-03,-6.478e-03,-1.320e-03,-5.716e-03,-3.238e-03,-2.662e-03,-1.401e-02,-7.089e-03,-1.061e-02,-2.843e-03,-2.972e-02,-4.707e-03,-5.094e-03,-1.051e-02,-1.431e-02,-3.353e-03,-1.505e-02,-7.958e-03,-1.498e-02,-8.939e-03,Simulation Eccentric Stiffness (3) fails.,-6.253e-03,-4.955e-03,-2.664e-03,-1.286e-02,-1.310e-02,-5.333e-03,-5.823e-03,-9.883e-03,-8.154e-03,-1.750e-03,-2.781e-02,-7.631e-03,-8.177e-03,-1.167e-02,-9.305e-04,-5.327e-03,-8.582e-03,-9.417e-03,-3.082e-03,-6.184e-03,-1.505e-02,-7.619e-03,-6.554e-03,-4.592e-03,-5.685e-03,-1.600e-03,-6.182e-03,-5.988e-03,-7.396e-03,-7.555e-03,-4.341e-03,-7.767e-03,-4.991e-03,-1.044e-02,-1.002e-02,-1.005e-02,-8.846e-03,-4.042e-03,-3.443e-03,Simulation Eccentric Stiffness (3) fails.,-3.262e-03,-5.810e-03,-2.306e-03,-4.789e-03,-1.506e-03,-4.089e-03,-8.044e-03,-8.786e-03,-4.893e-03,-4.401e-03,-6.778e-03,-1.668e-02,-5.626e-03,-9.502e-03,-7.809e-03,-4.675e-03,-5.480e-03,-6.370e-03,-9.459e-03,-4.057e-03,Simulation Eccentric Stiffness (3) fails.,-7.465e-03,-8.939e-03,-4.939e-03,-5.871e-03,-4.259e-03,-9.485e-03,-3.672e-03,-2.102e-03,-5.764e-03,-1.673e-02,-1.632e-02,-5.348e-03,-7.155e-03,-2.759e-03,-9.964e-03,-1.159e-02,-1.411e-02,-6.404e-03,-8.639e-03
