Design Study 1
Scenarios/Iterations:, 110
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110
Min FS 3,Monitor Only,,6.381e-01,6.640e-01,2.992e+00,3.094e+00,9.278e-01,2.113e+00,7.005e-01,2.177e+00,3.103e+00,2.402e+00,1.897e+00,2.746e+00,9.745e-01,3.201e+00,9.101e-01,1.217e+00,3.150e+00,2.065e+00,8.672e-01,1.700e+00,2.529e+00,3.380e+00,3.581e+00,3.699e+00,1.803e+00,1.061e+00,9.806e-01,2.533e+00,2.206e+00,2.588e+00,4.560e+00,4.242e+00,2.774e+00,2.961e+00,7.710e-01,1.704e+00,1.108e+00,9.307e-01,9.342e-01,9.592e-01,1.666e+00,2.372e+00,2.032e+00,1.928e+00,1.072e+00,4.216e+00,2.625e+00,7.452e-01,2.997e+00,1.106e+00,1.659e+00,1.084e+00,2.994e+00,8.901e-01,2.858e+00,2.909e+00,9.825e-01,3.662e+00,3.355e+00,3.300e+00,2.599e+00,1.361e+00,3.661e+00,1.891e+00,5.332e+00,1.008e+00,1.559e+00,2.808e+00,6.875e-01,Simulation Eccentric Stiffness (3) fails.,2.334e+00,1.534e+00,6.859e-01,3.470e+00,1.332e+00,3.432e+00,9.607e-01,3.610e+00,1.626e+00,4.094e+00,1.885e+00,4.439e+00,9.426e-01,2.218e+00,7.093e-01,5.643e-01,7.250e-01,1.040e+00,1.618e+00,1.863e+00,3.582e+00,3.082e+00,2.094e+00,2.270e+00,9.264e-01,8.145e-01,7.661e-01,2.824e+00,8.302e-01,1.455e+00,1.280e+00,9.865e-01,6.052e-01,4.559e+00,1.460e+00,2.952e+00,1.132e+00,9.464e-01,2.002e+00,3.208e+00,7.810e-01
Max Stress 3,Monitor Only, N/m^2,7.209e+08,4.141e+08,1.538e+08,2.674e+08,2.964e+08,2.177e+08,3.926e+08,2.113e+08,1.482e+08,1.915e+08,2.425e+08,3.013e+08,2.822e+08,1.437e+08,3.022e+08,2.260e+08,2.626e+08,2.228e+08,3.171e+08,2.707e+08,1.819e+08,1.361e+08,1.284e+08,2.236e+08,2.551e+08,2.591e+08,2.804e+08,1.816e+08,2.085e+08,3.197e+08,1.009e+08,1.084e+08,1.658e+08,1.553e+08,5.966e+08,2.700e+08,2.483e+08,2.955e+08,2.944e+08,2.867e+08,2.761e+08,1.939e+08,2.264e+08,2.386e+08,4.292e+08,1.091e+08,1.752e+08,3.690e+08,1.535e+08,2.487e+08,4.987e+08,2.537e+08,2.763e+08,3.089e+08,1.609e+08,1.581e+08,2.799e+08,1.256e+08,1.371e+08,1.394e+08,3.183e+08,3.379e+08,1.257e+08,2.433e+08,8.628e+07,4.562e+08,5.307e+08,1.638e+08,4.000e+08,Simulation Eccentric Stiffness (3) fails.,1.971e+08,2.999e+08,4.009e+08,1.326e+08,3.455e+08,1.340e+08,2.862e+08,2.292e+08,2.830e+08,2.021e+08,2.440e+08,1.036e+08,2.918e+08,2.074e+08,3.877e+08,4.874e+08,6.345e+08,2.643e+08,2.844e+08,2.469e+08,2.310e+08,1.493e+08,2.196e+08,2.026e+08,2.968e+08,3.376e+08,3.590e+08,2.930e+08,5.541e+08,3.162e+08,3.594e+08,2.788e+08,4.544e+08,1.009e+08,3.151e+08,1.558e+08,2.430e+08,2.906e+08,2.298e+08,1.434e+08,3.521e+08
Mass,Monitor Only, kg,4.72,2.99,8.67,4.89,2.58,8.51,2.73,8.83,9.36,10.09,7.63,3.33,2.27,8.56,2.38,2.5,4.59,7.63,2.56,6.59,7.85,10.1,8.71,3.81,7.85,2.34,2.2,8.87,7.41,3.59,10.77,10.44,9.26,10.46,8.25,7.28,2.65,2.38,2.24,2.79,6.09,8.14,8.44,8.52,8.03,10.37,8.87,2.57,8.87,2.75,4.31,2.79,4.01,2.06,7.99,9.72,2.15,9.39,9.19,9.61,4.43,6.32,10.06,8.22,10.89,8.28,4.7,9.18,2.98,Simulation Eccentric Stiffness (3) fails.,9.07,8.43,2.81,10.26,9.38,9.09,2.18,3.31,6.76,3.32,6.93,10.29,2.31,8.87,2.42,2.26,8.15,2.56,7.3,7.76,4.92,8.57,7.99,7.46,2.05,2.54,2.44,3.91,8.61,8.2,7.79,2.55,2.96,11.78,5.56,8.27,2.77,2.63,8.06,9.43,2.02
Dropout X Displacement,Monitor Only, m,2.916e-02,3.576e-02,-9.420e-04,1.437e-02,2.680e-02,-1.963e-03,-1.028e-02,-1.753e-03,-8.908e-04,-6.351e-04,-2.314e-03,1.683e-02,2.596e-02,-8.361e-04,-8.901e-03,-7.048e-03,1.254e-02,-1.303e-03,3.038e-02,-2.197e-03,-1.223e-03,-5.816e-04,-7.665e-04,-3.467e-03,-1.844e-03,2.389e-02,-7.733e-03,-8.830e-04,-1.483e-03,1.742e-02,-3.864e-04,-4.119e-04,-1.126e-03,-5.092e-04,-1.209e-03,-1.702e-03,2.341e-02,2.358e-02,2.617e-02,2.234e-02,-2.390e-03,-1.295e-03,-2.081e-03,7.735e-03,-1.139e-03,-5.003e-04,-1.305e-03,2.565e-02,-8.638e-04,-7.829e-03,1.917e-02,2.266e-02,1.294e-02,-8.618e-03,-9.503e-04,-5.830e-04,-7.434e-03,-6.486e-04,-9.086e-04,-8.388e-04,1.714e-02,-3.263e-03,-7.365e-04,-1.703e-03,-4.773e-04,-1.038e-03,1.292e-02,-1.076e-03,-1.052e-02,Simulation Eccentric Stiffness (3) fails.,-1.372e-03,-1.348e-03,-1.062e-02,-5.453e-04,-2.517e-03,-7.493e-04,-8.001e-03,-3.496e-03,-2.431e-03,-3.017e-03,-2.004e-03,-4.834e-04,-8.280e-03,-1.301e-03,-1.155e-02,-6.771e-03,-1.494e-03,2.185e-02,-1.473e-03,-1.258e-03,1.181e-02,-9.051e-04,-1.790e-03,-1.470e-03,-8.198e-03,-8.906e-03,-9.491e-03,1.512e-02,-9.839e-04,-1.836e-03,-1.958e-03,2.284e-02,2.718e-02,-4.724e-04,-3.314e-03,-9.630e-04,2.355e-02,2.717e-02,-1.821e-03,-7.955e-04,3.161e-02
Dropout Y Displacement,Monitor Only, m,-6.198e-02,-6.878e-02,1.850e-03,-3.418e-02,-5.345e-02,4.120e-03,2.066e-02,3.743e-03,1.832e-03,1.295e-03,4.972e-03,-3.082e-02,-4.698e-02,1.723e-03,1.673e-02,1.275e-02,-2.895e-02,2.329e-03,-5.826e-02,3.872e-03,2.253e-03,1.178e-03,1.502e-03,6.682e-03,3.458e-03,-4.562e-02,1.370e-02,1.695e-03,2.704e-03,-3.662e-02,9.731e-04,9.888e-04,2.282e-03,1.055e-03,2.164e-03,3.023e-03,-4.898e-02,-4.604e-02,-4.802e-02,-5.347e-02,4.210e-03,2.429e-03,4.358e-03,-1.656e-02,1.995e-03,1.115e-03,2.630e-03,-4.994e-02,1.738e-03,1.486e-02,-5.137e-02,-5.072e-02,-2.549e-02,1.522e-02,1.909e-03,1.178e-03,1.371e-02,1.235e-03,1.835e-03,1.722e-03,-4.271e-02,5.941e-03,1.591e-03,3.341e-03,1.247e-03,1.829e-03,-3.042e-02,2.201e-03,2.070e-02,Simulation Eccentric Stiffness (3) fails.,2.773e-03,2.550e-03,2.084e-02,1.139e-03,5.179e-03,1.442e-03,1.427e-02,6.557e-03,4.349e-03,5.679e-03,3.637e-03,1.015e-03,1.603e-02,2.627e-03,2.079e-02,1.276e-02,2.652e-03,-4.161e-02,2.616e-03,2.326e-03,-2.430e-02,1.745e-03,3.562e-03,2.754e-03,1.457e-02,1.715e-02,1.913e-02,-3.208e-02,1.834e-03,3.273e-03,3.550e-03,-4.795e-02,-7.647e-02,1.367e-03,5.540e-03,1.860e-03,-5.253e-02,-5.715e-02,3.632e-03,1.560e-03,-5.659e-02
BB X Displacement,Monitor Only, m,3.419e-02,4.233e-02,-1.027e-03,1.882e-02,3.220e-02,-2.189e-03,-1.108e-02,-1.945e-03,-9.832e-04,-6.367e-04,-2.574e-03,1.991e-02,2.991e-02,-9.397e-04,-9.508e-03,-7.420e-03,1.740e-02,-1.311e-03,3.605e-02,-2.288e-03,-1.300e-03,-5.965e-04,-8.355e-04,-3.832e-03,-1.915e-03,2.731e-02,-8.390e-03,-8.876e-04,-1.557e-03,2.245e-02,-4.411e-04,-4.454e-04,-1.240e-03,-5.094e-04,-1.169e-03,-1.729e-03,2.788e-02,2.952e-02,3.075e-02,3.151e-02,-2.575e-03,-1.375e-03,-2.326e-03,8.976e-03,-1.077e-03,-5.593e-04,-1.440e-03,3.050e-02,-8.984e-04,-8.305e-03,3.026e-02,2.862e-02,1.651e-02,-9.316e-03,-1.059e-03,-6.221e-04,-8.203e-03,-6.647e-04,-9.920e-04,-9.229e-04,2.091e-02,-3.541e-03,-8.209e-04,-1.816e-03,-5.397e-04,-9.823e-04,1.806e-02,-1.186e-03,-1.134e-02,Simulation Eccentric Stiffness (3) fails.,-1.525e-03,-1.360e-03,-1.155e-02,-5.653e-04,-2.652e-03,-7.813e-04,-8.726e-03,-3.885e-03,-2.533e-03,-3.344e-03,-2.150e-03,-5.099e-04,-8.977e-03,-1.419e-03,-1.212e-02,-7.395e-03,-1.481e-03,2.671e-02,-1.510e-03,-1.286e-03,1.504e-02,-9.734e-04,-1.990e-03,-1.622e-03,-8.903e-03,-9.416e-03,-1.019e-02,1.963e-02,-9.545e-04,-1.862e-03,-1.996e-03,2.909e-02,3.628e-02,-5.817e-04,-3.472e-03,-1.038e-03,2.800e-02,3.338e-02,-2.025e-03,-8.628e-04,3.702e-02
BB Y Displacement,Monitor Only, m,-3.635e-02,-3.667e-02,9.421e-04,-1.746e-02,-2.826e-02,2.117e-03,1.214e-02,1.829e-03,9.173e-04,5.934e-04,2.481e-03,-1.577e-02,-2.443e-02,8.224e-04,9.266e-03,6.636e-03,-1.395e-02,1.262e-03,-3.117e-02,2.120e-03,1.168e-03,5.442e-04,7.237e-04,3.417e-03,1.971e-03,-2.302e-02,7.421e-03,8.338e-04,1.439e-03,-1.795e-02,3.794e-04,3.890e-04,1.157e-03,4.607e-04,1.186e-03,1.656e-03,-2.609e-02,-2.379e-02,-2.501e-02,-2.788e-02,2.262e-03,1.291e-03,2.263e-03,-8.512e-03,1.010e-03,5.005e-04,1.337e-03,-2.642e-02,8.137e-04,8.038e-03,-2.595e-02,-2.737e-02,-1.282e-02,8.280e-03,9.150e-04,5.548e-04,7.420e-03,5.881e-04,8.714e-04,8.600e-04,-2.005e-02,3.283e-03,7.488e-04,1.890e-03,4.544e-04,9.448e-04,-1.498e-02,1.098e-03,1.207e-02,Simulation Eccentric Stiffness (3) fails.,1.451e-03,1.455e-03,1.194e-02,5.702e-04,3.100e-03,7.044e-04,7.724e-03,3.405e-03,2.439e-03,2.901e-03,1.968e-03,4.537e-04,8.883e-03,1.444e-03,1.196e-02,6.419e-03,1.460e-03,-2.116e-02,1.405e-03,1.274e-03,-1.201e-02,8.784e-04,1.843e-03,1.429e-03,7.879e-03,1.007e-02,1.112e-02,-1.573e-02,9.251e-04,1.832e-03,2.014e-03,-2.473e-02,-3.928e-02,5.346e-04,3.000e-03,9.308e-04,-2.727e-02,-3.067e-02,1.836e-03,7.873e-04,-2.917e-02
BB Z Displacement,Monitor Only, m,2.085e-03,2.024e-03,3.840e-04,1.758e-03,2.265e-03,6.821e-04,2.036e-03,5.941e-04,3.962e-04,2.984e-04,7.259e-04,1.453e-03,2.214e-03,3.577e-04,2.291e-03,2.108e-03,1.736e-03,3.939e-04,2.436e-03,5.699e-04,4.131e-04,2.682e-04,3.115e-04,1.089e-03,5.006e-04,2.559e-03,2.188e-03,3.688e-04,4.722e-04,2.075e-03,2.120e-04,2.144e-04,4.577e-04,2.403e-04,4.720e-04,5.164e-04,2.358e-03,2.386e-03,2.247e-03,3.351e-03,6.767e-04,4.312e-04,6.846e-04,8.134e-04,4.402e-04,2.566e-04,5.094e-04,2.544e-03,3.662e-04,2.280e-03,3.669e-03,2.933e-03,1.331e-03,2.233e-03,3.787e-04,2.673e-04,2.106e-03,2.655e-04,3.658e-04,3.760e-04,2.113e-03,7.513e-04,3.477e-04,4.953e-04,2.438e-04,4.193e-04,1.778e-03,4.406e-04,2.130e-03,Simulation Eccentric Stiffness (3) fails.,4.849e-04,4.686e-04,1.978e-03,2.677e-04,5.624e-04,3.040e-04,2.256e-03,1.073e-03,6.277e-04,9.818e-04,5.960e-04,2.373e-04,2.276e-03,4.494e-04,2.054e-03,2.254e-03,5.060e-04,2.012e-03,4.347e-04,4.094e-04,1.341e-03,3.528e-04,5.690e-04,5.030e-04,2.185e-03,1.992e-03,2.313e-03,1.732e-03,4.329e-04,5.369e-04,5.195e-04,2.885e-03,4.724e-03,2.992e-04,7.365e-04,3.735e-04,2.808e-03,2.485e-03,5.760e-04,3.297e-04,2.419e-03
BBR Y Displacement,Monitor Only, m,-1.377e-02,-1.337e-02,-9.932e-04,-6.094e-03,-1.032e-02,-2.220e-03,-1.554e-02,-1.702e-03,-9.507e-04,-6.344e-04,-2.420e-03,-5.620e-03,-8.843e-03,-8.305e-04,-1.056e-02,-6.841e-03,-4.757e-03,-1.423e-03,-1.144e-02,-2.337e-03,-1.205e-03,-5.633e-04,-6.992e-04,-3.345e-03,-2.371e-03,-8.109e-03,-8.045e-03,-9.211e-04,-1.559e-03,-6.145e-03,-3.557e-04,-3.780e-04,-1.159e-03,-4.702e-04,-1.448e-03,-1.908e-03,-9.463e-03,-8.512e-03,-9.060e-03,-9.883e-03,-2.438e-03,-1.376e-03,-2.358e-03,-2.984e-03,-1.141e-03,-5.005e-04,-1.366e-03,-9.660e-03,-8.702e-04,-8.902e-03,-8.960e-03,-1.004e-02,-4.526e-03,-8.987e-03,-8.897e-04,-5.581e-04,-8.146e-03,-5.929e-04,-7.835e-04,-8.827e-04,-6.551e-03,-3.636e-03,-7.234e-04,-2.233e-03,-3.604e-04,-1.079e-03,-5.159e-03,-1.080e-03,-1.516e-02,Simulation Eccentric Stiffness (3) fails.,-1.504e-03,-1.837e-03,-1.416e-02,-6.400e-04,-4.117e-03,-7.265e-04,-8.407e-03,-3.386e-03,-2.852e-03,-2.886e-03,-2.143e-03,-4.510e-04,-1.019e-02,-1.636e-03,-1.458e-02,-6.436e-03,-1.713e-03,-7.526e-03,-1.527e-03,-1.468e-03,-4.185e-03,-9.040e-04,-1.818e-03,-1.485e-03,-8.510e-03,-1.299e-02,-1.405e-02,-5.417e-03,-1.071e-03,-2.142e-03,-2.396e-03,-8.784e-03,-1.361e-02,-5.115e-04,-3.216e-03,-9.643e-04,-9.601e-03,-1.127e-02,-1.759e-03,-7.991e-04,-1.054e-02
BBL Y Displacement,Monitor Only, m,-1.297e-02,-1.268e-02,-8.877e-04,-5.654e-03,-9.625e-03,-2.028e-03,-1.484e-02,-1.543e-03,-8.455e-04,-5.506e-04,-2.217e-03,-5.153e-03,-8.132e-03,-7.378e-04,-9.819e-03,-6.189e-03,-4.331e-03,-1.296e-03,-1.070e-02,-2.145e-03,-1.081e-03,-4.958e-04,-6.192e-04,-3.026e-03,-2.202e-03,-7.348e-03,-7.335e-03,-8.192e-04,-1.410e-03,-5.614e-03,-3.105e-04,-3.302e-04,-1.034e-03,-4.049e-04,-1.228e-03,-1.748e-03,-8.791e-03,-7.788e-03,-8.319e-03,-9.083e-03,-2.217e-03,-1.244e-03,-2.165e-03,-2.759e-03,-9.228e-04,-4.414e-04,-1.223e-03,-8.906e-03,-7.709e-04,-8.212e-03,-8.230e-03,-9.269e-03,-4.134e-03,-8.235e-03,-7.902e-04,-4.913e-04,-7.444e-03,-5.213e-04,-6.961e-04,-7.854e-04,-6.059e-03,-3.382e-03,-6.399e-04,-2.065e-03,-3.121e-04,-8.653e-04,-4.727e-03,-9.623e-04,-1.444e-02,Simulation Eccentric Stiffness (3) fails.,-1.363e-03,-1.690e-03,-1.347e-02,-5.696e-04,-3.927e-03,-6.438e-04,-7.675e-03,-3.058e-03,-2.642e-03,-2.590e-03,-1.947e-03,-3.944e-04,-9.461e-03,-1.495e-03,-1.383e-02,-5.767e-03,-1.519e-03,-6.891e-03,-1.386e-03,-1.337e-03,-3.811e-03,-8.065e-04,-1.655e-03,-1.334e-03,-7.780e-03,-1.230e-02,-1.330e-02,-4.952e-03,-8.846e-04,-1.967e-03,-2.228e-03,-8.019e-03,-1.257e-02,-4.436e-04,-2.957e-03,-8.600e-04,-8.854e-03,-1.055e-02,-1.596e-03,-7.120e-04,-9.720e-03
