Design Study 1
Scenarios/Iterations:, 154
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154
DT Length,,N/A,0.001428,0.663538,0.646496,0.635584,0.495052,0.639605,0.609257,0.617295,0.555956,0.733712,0.612802,0.566119,0.640734,0.680032,0.467459,0.680088,0.664188,0.654432,0.697877,0.661225,0.640827,0.649598,0.662439,0.626840,0.641842,0.662459,0.415527,0.679828,0.659939,0.658509,0.492836,0.658494,0.678961,0.628594,0.706228,0.643611,0.639249,0.611860,0.443594,0.614880,0.451193,0.695286,0.624038,0.633030,0.552885,0.698920,0.645168,0.528281,0.689528,0.626419,0.503862,0.439300,0.583369,0.676578,0.614029,0.662868,0.629317,0.600944,0.656643,0.627846,0.682707,0.649358,0.609193,0.615165,0.649307,0.644565,0.669102,0.649750,0.642030,0.647236,0.612908,0.603317,0.638030,0.523365,0.678807,0.554864,0.640000,0.624983,0.650459,0.498030,0.647855,0.651568,0.626562,0.611317,0.658106,0.651904,0.650688,0.644775,0.437681,0.659129,0.651059,0.534956,0.660369,0.576304,0.642456,0.642247,0.668524,0.652891,0.662498,0.647290,0.718985,0.653299,0.640026,0.651716,0.642822,0.532151,0.617670,0.639599,0.655732,0.644733,0.664278,0.667397,0.642003,0.655852,0.611882,0.621098,0.664672,0.454447,0.652143,0.712729,0.503463,0.683069,0.598960,0.616735,0.653538,0.640407,0.666664,0.588794,0.643419,0.675116,0.612780,0.456261,0.443940,0.652019,0.516196,0.654032,0.643181,0.684335,0.679744,0.669350,0.640024,0.653779,0.655438,0.646163,0.642649,0.649972,0.669217,0.604953,0.646515,0.623941,0.610605,0.627551,0.647054,0.624301,0.680859
Min FS 1,Monitor Only,,2.363e-01,3.078e-01,6.527e-01,7.702e-02,3.012e-01,3.477e-01,1.274e+00,1.864e-01,2.173e+00,2.115e-01,2.383e-01,1.263e+00,4.616e-01,4.810e-01,1.206e-01,1.060e+00,4.291e-01,7.408e-01,5.779e-01,1.460e-01,1.042e+00,1.373e-01,3.302e-01,3.796e-01,5.495e-01,3.641e-01,4.794e-01,1.199e-01,2.214e-01,2.278e-01,7.415e-01,3.584e-01,3.192e-01,7.188e-01,3.132e-01,4.826e-01,1.731e-01,3.327e-01,1.744e+00,1.183e+00,8.874e-01,3.841e-01,5.927e-01,Simulation Eccentric Stiffness (3) fails.,1.973e+00,3.472e-01,2.437e-01,1.496e+00,Simulation Eccentric Stiffness (3) fails.,1.451e+00,1.236e+00,6.202e-01,2.016e-01,1.405e-01,2.788e-01,2.418e-01,3.587e-01,3.030e+00,2.353e-01,2.692e+00,5.523e-01,2.171e-01,2.882e-01,4.714e-01,7.423e-01,5.394e-01,9.447e-01,3.388e-01,4.732e-01,2.655e-01,2.612e-01,4.945e-01,9.247e-02,4.893e-01,6.399e-01,8.182e-01,2.012e-01,3.793e-01,1.282e-01,6.981e-01,5.162e-01,6.078e-01,4.871e-01,3.563e-01,4.349e-01,9.063e-01,4.099e-01,6.153e-01,1.488e+00,4.808e-01,5.034e-01,6.096e-02,2.373e-01,1.373e-01,2.616e-01,2.647e-01,2.066e-01,1.767e-01,1.398e-01,1.690e-01,1.117e-01,4.431e-01,3.184e-01,3.727e-01,3.207e-01,4.547e-01,7.318e-01,2.179e-01,7.975e-01,3.807e-01,4.020e-01,5.318e-01,6.144e-01,1.222e-01,1.859e-01,1.135e+00,1.413e+00,1.034e+00,1.175e+00,1.113e+00,8.703e-01,6.635e-01,4.406e-01,2.117e-01,1.257e-01,1.357e+00,2.880e-01,7.977e-01,1.962e-01,7.240e-01,4.584e-01,1.141e+00,5.136e-01,3.278e-02,4.897e-01,2.315e-01,1.680e-01,3.728e-01,3.899e-01,3.862e-01,4.990e-01,1.827e+00,1.729e-01,3.862e-01,1.865e+00,3.134e+00,6.902e-01,7.580e-01,Simulation Eccentric Stiffness (3) fails.,9.245e-01,4.378e-01,5.313e-01,8.899e-01,2.567e+00,3.150e-01
Max Stress 1,Monitor Only, N/m^2,1.947e+09,1.494e+09,1.268e+09,5.972e+09,1.527e+09,1.323e+09,3.611e+08,2.468e+09,3.808e+08,1.300e+09,1.931e+09,6.548e+08,9.966e+08,9.564e+08,2.280e+09,4.340e+08,1.072e+09,1.117e+09,1.432e+09,1.884e+09,4.414e+08,3.349e+09,1.393e+09,1.212e+09,5.004e+08,1.263e+09,5.736e+08,2.294e+09,2.078e+09,2.019e+09,6.204e+08,1.284e+09,1.441e+09,1.151e+09,1.469e+09,9.532e+08,1.589e+09,1.383e+09,2.638e+08,3.887e+08,5.184e+08,2.154e+09,4.640e+08,Simulation Eccentric Stiffness (3) fails.,4.193e+08,2.383e+09,1.128e+09,3.075e+08,Simulation Eccentric Stiffness (3) fails.,3.169e+08,3.722e+08,7.417e+08,2.281e+09,3.275e+09,1.650e+09,1.902e+09,1.282e+09,2.730e+08,1.955e+09,3.073e+08,8.328e+08,2.119e+09,1.596e+09,9.758e+08,3.705e+08,1.534e+09,8.758e+08,1.358e+09,9.722e+08,1.733e+09,1.053e+09,5.561e+08,8.947e+09,1.691e+09,1.293e+09,5.622e+08,1.367e+09,1.213e+09,6.454e+09,6.590e+08,5.327e+08,1.361e+09,9.444e+08,1.291e+09,1.058e+09,9.129e+08,1.122e+09,7.476e+08,3.092e+08,9.568e+08,1.644e+09,7.546e+09,1.939e+09,3.351e+09,1.051e+09,1.738e+09,2.227e+09,1.556e+09,1.967e+09,1.628e+09,4.117e+09,1.038e+09,8.636e+08,1.234e+09,8.576e+08,1.012e+09,6.286e+08,1.262e+09,1.037e+09,7.224e+08,1.144e+09,8.649e+08,1.347e+09,2.251e+09,1.479e+09,7.291e+08,3.255e+08,4.450e+08,7.040e+08,4.132e+08,5.285e+08,6.933e+08,6.242e+08,1.299e+09,3.660e+09,6.097e+08,9.547e+08,1.037e+09,1.401e+09,1.143e+09,1.004e+09,2.409e+08,5.354e+08,8.390e+09,1.690e+09,1.987e+09,2.738e+09,1.234e+09,1.180e+09,2.142e+09,5.511e+08,4.529e+08,1.590e+09,1.191e+09,4.436e+08,2.640e+08,6.665e+08,6.069e+08,Simulation Eccentric Stiffness (3) fails.,8.950e+08,6.282e+08,8.659e+08,5.169e+08,3.223e+08,1.460e+09
Min FS 3,Monitor Only,,6.381e-01,1.743e+00,1.761e+00,5.443e-01,3.185e+00,1.046e+00,1.235e+00,6.618e-01,3.028e+00,4.605e-01,1.579e+00,4.612e+00,1.140e+00,1.344e+00,3.784e-01,6.311e-01,1.177e+00,2.139e+00,1.625e+00,1.045e+00,7.233e-01,2.709e-01,9.841e-01,1.145e+00,1.557e+00,1.232e+00,4.134e-01,2.452e-01,5.475e-01,1.297e+00,1.710e+00,8.656e-01,8.763e-01,2.155e+00,8.796e-01,2.775e+00,5.321e-01,8.391e-01,1.161e+00,1.047e+00,7.410e-01,1.432e+00,6.803e-01,Simulation Eccentric Stiffness (3) fails.,4.359e+00,8.062e-01,6.995e-01,2.059e+00,Simulation Eccentric Stiffness (3) fails.,1.624e+00,1.787e+00,5.950e-01,7.942e-01,2.758e-01,4.275e-01,6.751e-01,1.009e+00,3.716e+00,6.613e-01,4.483e+00,1.511e+00,4.699e-01,1.662e+00,1.313e+00,7.104e-01,1.689e+00,1.978e+00,1.199e+00,1.437e+00,6.542e-01,4.248e-01,2.001e+00,7.203e-02,1.892e+00,1.565e+00,2.487e+00,3.031e-01,1.075e+00,1.182e+00,1.511e+00,1.003e+00,1.608e+00,8.763e-01,9.361e-01,1.240e+00,2.390e+00,1.325e+00,2.803e+00,4.381e-01,1.343e+00,2.287e+00,1.480e+00,7.046e-01,3.179e+00,5.872e-01,5.123e-01,5.249e-01,8.409e-01,5.347e-01,3.466e-01,1.714e+00,1.223e+00,9.218e-01,1.007e+00,1.477e+00,1.318e+00,2.120e+00,5.440e-01,2.592e+00,9.703e-01,1.082e+00,1.463e+00,1.767e+00,6.324e-01,5.127e-01,3.514e+00,1.384e+00,8.226e-01,3.255e+00,1.514e+00,4.197e+00,1.969e+00,1.160e+00,6.535e-01,3.384e-01,3.749e+00,7.953e-01,4.251e+00,1.038e+00,1.964e+00,1.328e+00,1.380e+00,6.240e-01,7.509e-02,1.046e+01,6.521e-01,4.299e-01,1.008e+00,1.184e+00,1.798e+00,9.041e-01,2.603e+00,4.775e-01,1.076e+00,3.907e+00,2.383e+00,1.995e+00,1.265e+00,Simulation Eccentric Stiffness (3) fails.,2.781e+00,1.190e+00,1.602e+00,6.236e-01,3.707e+00,8.821e-01
Max Stress 3,Monitor Only, N/m^2,7.209e+08,2.639e+08,4.699e+08,8.452e+08,1.444e+08,4.396e+08,3.725e+08,6.951e+08,2.733e+08,5.972e+08,2.914e+08,1.794e+08,4.035e+08,3.423e+08,7.268e+08,7.288e+08,3.909e+08,3.868e+08,5.091e+08,2.631e+08,6.360e+08,1.698e+09,4.674e+08,4.017e+08,1.766e+08,3.733e+08,6.653e+08,1.122e+09,8.402e+08,3.548e+08,2.690e+08,5.314e+08,5.249e+08,3.839e+08,5.229e+08,1.658e+08,5.168e+08,5.482e+08,3.961e+08,4.392e+08,6.208e+08,5.779e+08,4.042e+08,Simulation Eccentric Stiffness (3) fails.,1.898e+08,1.026e+09,3.931e+08,2.234e+08,Simulation Eccentric Stiffness (3) fails.,2.833e+08,2.574e+08,7.731e+08,5.792e+08,1.668e+09,1.076e+09,6.814e+08,4.560e+08,2.226e+08,6.956e+08,1.846e+08,3.044e+08,9.790e+08,2.767e+08,3.504e+08,3.871e+08,4.898e+08,4.184e+08,3.836e+08,3.202e+08,7.031e+08,6.474e+08,1.374e+08,1.149e+10,4.372e+08,5.288e+08,1.850e+08,9.073e+08,4.279e+08,7.002e+08,3.044e+08,2.743e+08,5.144e+08,5.250e+08,4.914e+08,3.711e+08,3.461e+08,3.472e+08,1.641e+08,1.050e+09,3.426e+08,3.618e+08,3.108e+08,6.528e+08,1.447e+08,4.683e+08,8.979e+08,8.763e+08,3.270e+08,5.143e+08,7.933e+08,2.684e+08,3.760e+08,2.983e+08,4.567e+08,1.862e+08,3.489e+08,2.170e+08,5.055e+08,3.192e+08,2.834e+08,4.250e+08,3.144e+08,4.682e+08,4.348e+08,5.363e+08,2.355e+08,3.325e+08,5.592e+08,2.542e+08,3.038e+08,1.096e+08,2.337e+08,2.370e+08,4.208e+08,1.359e+09,2.207e+08,3.458e+08,1.946e+08,2.651e+08,4.213e+08,3.465e+08,1.992e+08,4.407e+08,3.662e+09,7.910e+07,7.055e+08,1.070e+09,4.562e+08,3.887e+08,4.602e+08,3.042e+08,3.179e+08,5.759e+08,4.276e+08,2.118e+08,3.472e+08,2.306e+08,3.637e+08,Simulation Eccentric Stiffness (3) fails.,2.975e+08,2.310e+08,2.872e+08,7.376e+08,2.232e+08,5.215e+08
Mass,Monitor Only, kg,4.72,7.01,2.58,2.22,4.11,3.65,3.07,3.67,3.32,3.2,6.43,2.09,6.24,6.44,1.75,8.33,6.01,2.72,2.91,2.18,5.07,3.79,6.76,3.22,2.83,8.36,4.27,1.8,3.65,6.77,9.33,7.95,3.62,2.11,5.08,6.21,1.31,3.94,4.9,3.46,3.75,2.52,1.89,Simulation Eccentric Stiffness (3) fails.,2.32,2.65,2.23,3.73,Simulation Eccentric Stiffness (3) fails.,5.94,3.77,2.64,2.73,3.16,3.77,4.16,5.25,3.81,3.31,5.07,8.94,3.32,3.35,5.47,1.83,2.08,4,6.22,5.8,4.11,1.52,2.9,2.85,2.17,4.08,3.65,2.09,6.15,3.59,8.99,2.57,1.89,4.71,3.18,7.16,3.58,5.86,5.41,5.67,4.71,3.46,2.38,4.85,5.46,2.63,2.43,3.1,2.61,2.09,1.25,4.25,6.26,2.05,5.28,2.4,7.31,4.42,1.79,3.09,3.54,6.13,5.91,2.92,1.37,1.33,3.94,6.72,5.12,3.34,7.73,5.3,10.49,2.27,1.45,3.77,4.16,2.42,2.75,2.12,3.72,4.62,2.36,1.35,2.18,4.33,2.94,4.44,4.66,8.82,3.02,1.84,2.9,2.69,4.64,3.41,2.84,7.22,5.37,Simulation Eccentric Stiffness (3) fails.,3.24,1.98,6.58,4.46,4.73,5.22
Dropout X Displacement,Monitor Only, m,2.916e-02,-1.737e-03,3.001e-02,2.588e-02,-9.489e-04,1.523e-02,-4.132e-03,-3.844e-03,-4.157e-03,3.375e-02,-6.472e-03,1.224e-02,1.035e-02,1.009e-02,6.668e-02,-2.242e-03,1.141e-02,2.399e-02,3.456e-02,-6.820e-03,-4.935e-03,1.566e-02,-1.520e-03,1.154e-02,1.325e-02,8.244e-03,2.884e-03,3.204e-02,2.186e-02,9.683e-03,4.683e-03,1.215e-02,2.049e-02,2.859e-02,2.239e-02,1.945e-03,4.875e-02,-4.266e-03,-2.776e-03,-5.259e-03,-6.487e-03,4.213e-02,-1.027e-02,Simulation Eccentric Stiffness (3) fails.,-4.906e-03,3.782e-02,4.267e-02,-1.692e-03,Simulation Eccentric Stiffness (3) fails.,-3.093e-03,-1.464e-03,3.568e-03,1.817e-02,3.083e-02,8.828e-03,2.504e-02,1.474e-02,-3.942e-03,2.599e-02,-2.676e-03,7.996e-03,2.624e-02,5.843e-03,8.512e-03,-5.756e-03,4.432e-02,9.540e-03,1.192e-02,8.730e-03,2.080e-02,3.108e-02,-2.804e-03,2.526e-02,-6.244e-03,2.463e-02,-5.414e-03,-5.479e-03,1.278e-02,6.363e-03,4.592e-03,-7.839e-03,3.408e-02,9.577e-03,1.411e-02,9.551e-03,1.738e-02,1.122e-02,-8.014e-04,-3.086e-03,9.841e-03,2.116e-02,-5.019e-03,1.565e-02,-1.929e-03,2.672e-02,2.631e-02,2.528e-02,1.617e-02,3.830e-02,5.698e-02,1.081e-02,1.313e-02,2.517e-02,1.353e-02,1.489e-02,1.027e-02,4.485e-03,5.126e-02,2.522e-02,1.450e-02,1.298e-02,9.914e-03,2.806e-02,4.623e-02,5.030e-02,1.486e-02,-2.857e-03,-5.243e-03,-3.576e-03,-2.955e-03,-8.010e-04,6.253e-03,7.353e-03,4.638e-02,1.035e-02,9.487e-03,2.846e-02,-4.622e-03,-5.179e-03,2.528e-02,-4.072e-03,-4.557e-03,-1.945e-02,4.473e-02,-5.981e-04,2.703e-02,3.983e-02,1.554e-02,-1.635e-03,2.448e-02,-7.808e-03,-5.436e-03,4.189e-02,1.376e-02,5.556e-03,-5.066e-03,7.305e-03,-6.698e-03,Simulation Eccentric Stiffness (3) fails.,1.675e-02,1.605e-02,7.670e-03,-2.509e-03,-2.310e-03,1.862e-02
Dropout Y Displacement,Monitor Only, m,-6.198e-02,3.344e-03,-5.856e-02,-5.310e-02,1.491e-03,-2.794e-02,5.755e-03,7.237e-03,7.762e-03,-6.772e-02,1.667e-02,-1.693e-02,-2.087e-02,-2.323e-02,-1.476e-01,4.526e-03,-2.437e-02,-4.653e-02,-7.621e-02,1.761e-02,1.078e-02,-3.535e-02,4.717e-03,-2.241e-02,-2.556e-02,-1.715e-02,-6.739e-03,-7.427e-02,-4.592e-02,-1.675e-02,-8.349e-03,-2.747e-02,-3.915e-02,-4.387e-02,-4.518e-02,-4.529e-03,-1.035e-01,7.744e-03,5.061e-03,7.196e-03,7.924e-03,-9.014e-02,2.040e-02,Simulation Eccentric Stiffness (3) fails.,6.731e-03,-8.854e-02,-8.419e-02,1.711e-03,Simulation Eccentric Stiffness (3) fails.,4.623e-03,1.492e-03,-5.192e-03,-2.783e-02,-5.613e-02,-1.218e-02,-5.433e-02,-2.585e-02,8.341e-03,-5.169e-02,3.952e-03,-1.853e-02,-6.117e-02,-1.004e-02,-1.504e-02,1.137e-02,-6.889e-02,-1.729e-02,-2.411e-02,-1.535e-02,-4.419e-02,-5.836e-02,4.905e-03,-5.397e-02,7.334e-03,-6.532e-02,6.350e-03,1.144e-02,-2.657e-02,-1.744e-02,-1.158e-02,1.464e-02,-7.043e-02,-1.630e-02,-3.082e-02,-2.042e-02,-4.201e-02,-2.186e-02,1.927e-03,5.979e-03,-1.958e-02,-4.261e-02,2.434e-02,-3.562e-02,4.269e-03,-8.124e-02,-5.111e-02,-6.105e-02,-3.225e-02,-8.311e-02,-1.277e-01,-2.308e-02,-2.641e-02,-3.980e-02,-2.852e-02,-2.914e-02,-1.859e-02,-6.540e-03,-9.026e-02,-3.668e-02,-2.957e-02,-2.442e-02,-1.693e-02,-4.927e-02,-8.816e-02,-1.004e-01,-2.605e-02,6.036e-03,1.108e-02,7.838e-03,6.609e-03,1.338e-03,-1.110e-02,-1.461e-02,-8.025e-02,-2.166e-02,-2.004e-02,-5.890e-02,6.999e-03,8.408e-03,-5.422e-02,7.005e-03,9.392e-03,3.049e-02,-8.384e-02,2.259e-03,-5.533e-02,-8.162e-02,-3.282e-02,6.094e-03,-5.083e-02,1.397e-02,1.016e-02,-9.433e-02,-2.633e-02,-1.435e-02,1.004e-02,-1.371e-02,1.074e-02,Simulation Eccentric Stiffness (3) fails.,-2.921e-02,-3.307e-02,-1.622e-02,8.413e-03,5.587e-03,-3.815e-02
BB X Displacement,Monitor Only, m,3.419e-02,-1.904e-03,3.607e-02,3.181e-02,-1.136e-03,1.843e-02,-4.428e-03,-4.249e-03,-4.536e-03,4.023e-02,-6.558e-03,1.435e-02,1.248e-02,1.251e-02,8.062e-02,-2.402e-03,1.407e-02,2.815e-02,4.310e-02,-7.605e-03,-5.617e-03,1.877e-02,-1.843e-03,1.432e-02,1.531e-02,1.011e-02,3.808e-03,4.121e-02,2.613e-02,1.130e-02,5.420e-03,1.472e-02,2.494e-02,3.390e-02,2.626e-02,2.513e-03,5.918e-02,-4.827e-03,-3.158e-03,-5.008e-03,-5.931e-03,5.071e-02,-1.120e-02,Simulation Eccentric Stiffness (3) fails.,-5.179e-03,4.511e-02,5.124e-02,-1.785e-03,Simulation Eccentric Stiffness (3) fails.,-3.356e-03,-1.585e-03,4.334e-03,2.105e-02,3.719e-02,1.083e-02,3.059e-02,1.725e-02,-4.312e-03,3.141e-02,-2.688e-03,9.615e-03,3.212e-02,7.159e-03,1.028e-02,-6.177e-03,5.174e-02,1.146e-02,1.411e-02,1.043e-02,2.528e-02,3.899e-02,-3.153e-03,3.095e-02,-6.349e-03,2.996e-02,-5.824e-03,-6.147e-03,1.520e-02,8.496e-03,5.621e-03,-8.739e-03,4.152e-02,1.145e-02,1.699e-02,1.151e-02,2.103e-02,1.318e-02,-9.728e-04,-3.326e-03,1.195e-02,2.597e-02,-3.955e-03,1.940e-02,-2.067e-03,3.360e-02,3.198e-02,3.057e-02,1.978e-02,4.620e-02,6.850e-02,1.312e-02,1.565e-02,2.933e-02,1.592e-02,1.732e-02,1.182e-02,5.320e-03,6.104e-02,3.006e-02,1.721e-02,1.531e-02,1.182e-02,3.291e-02,5.499e-02,5.946e-02,1.729e-02,-3.072e-03,-5.601e-03,-3.930e-03,-3.389e-03,-9.823e-04,7.358e-03,9.578e-03,5.746e-02,1.241e-02,1.151e-02,3.430e-02,-4.544e-03,-5.184e-03,2.920e-02,-4.414e-03,-5.191e-03,-2.036e-02,5.379e-02,-9.316e-04,3.262e-02,4.702e-02,1.845e-02,-1.812e-03,2.920e-02,-8.513e-03,-5.626e-03,5.090e-02,1.640e-02,7.289e-03,-5.169e-03,8.780e-03,-6.577e-03,Simulation Eccentric Stiffness (3) fails.,2.020e-02,1.953e-02,9.381e-03,-3.578e-03,-2.546e-03,2.206e-02
BB Y Displacement,Monitor Only, m,-3.635e-02,1.651e-03,-3.269e-02,-2.757e-02,9.319e-05,-1.340e-02,3.063e-03,3.578e-03,2.429e-03,-3.945e-02,4.168e-03,-5.650e-03,-1.158e-02,-1.215e-02,-7.836e-02,2.334e-03,-1.334e-02,-2.393e-02,-4.002e-02,6.937e-03,6.305e-03,-2.057e-02,3.138e-03,-1.021e-02,-1.307e-02,-9.078e-03,-3.322e-03,-3.870e-02,-2.603e-02,-8.579e-03,-4.158e-03,-1.534e-02,-2.094e-02,-1.898e-02,-2.447e-02,-1.983e-03,-5.167e-02,4.618e-03,2.954e-03,3.428e-03,4.037e-03,-4.978e-02,1.147e-02,Simulation Eccentric Stiffness (3) fails.,1.873e-03,-5.199e-02,-4.344e-02,4.082e-04,Simulation Eccentric Stiffness (3) fails.,2.077e-03,3.780e-04,-1.533e-03,-1.054e-02,-2.779e-02,-5.481e-03,-2.875e-02,-1.336e-02,4.081e-03,-2.677e-02,2.248e-03,-1.090e-02,-3.413e-02,-4.116e-03,-7.679e-03,6.768e-03,-3.061e-02,-9.411e-03,-1.199e-02,-6.734e-03,-2.325e-02,-2.660e-02,2.306e-03,-2.966e-02,2.374e-03,-4.213e-02,1.818e-03,5.069e-03,-1.413e-02,-1.055e-02,-7.142e-03,6.319e-03,-4.108e-02,-7.430e-03,-1.697e-02,-1.136e-02,-2.337e-02,-1.105e-02,9.357e-04,3.233e-03,-1.014e-02,-1.824e-02,1.393e-03,-1.786e-02,1.181e-03,-4.577e-02,-2.542e-02,-3.645e-02,-1.666e-02,-4.551e-02,-7.634e-02,-1.111e-02,-1.428e-02,-1.988e-02,-1.593e-02,-1.360e-02,-9.127e-03,-2.314e-03,-4.506e-02,-1.526e-02,-1.571e-02,-1.390e-02,-7.994e-03,-2.511e-02,-4.366e-02,-5.342e-02,-1.139e-02,3.367e-03,6.299e-03,3.920e-03,3.331e-03,2.189e-04,-5.281e-03,-7.109e-03,-3.681e-02,-1.126e-02,-1.026e-02,-3.160e-02,2.789e-03,4.657e-03,-2.978e-02,3.284e-03,3.797e-03,1.456e-02,-4.229e-02,3.922e-04,-2.930e-02,-4.501e-02,-1.857e-02,1.604e-03,-2.855e-02,7.068e-03,5.067e-03,-5.280e-02,-1.388e-02,-6.773e-03,5.744e-03,-7.124e-03,4.216e-03,Simulation Eccentric Stiffness (3) fails.,-1.339e-02,-1.739e-02,-7.666e-03,4.963e-03,3.107e-03,-2.058e-02
BB Z Displacement,Monitor Only, m,2.085e-03,6.787e-04,2.165e-03,3.219e-03,5.531e-04,1.276e-03,1.000e-03,1.459e-03,9.605e-04,3.185e-03,7.268e-04,3.349e-03,1.427e-03,1.541e-03,2.495e-03,5.676e-04,7.762e-04,1.697e-03,3.144e-03,2.292e-03,1.363e-03,1.035e-03,1.384e-03,2.189e-03,1.823e-03,5.741e-04,8.316e-04,6.441e-03,1.914e-03,1.573e-03,2.694e-04,1.119e-03,1.780e-03,3.178e-03,2.141e-03,4.165e-04,4.253e-03,1.047e-03,9.147e-04,1.520e-03,8.065e-04,1.883e-03,2.411e-03,Simulation Eccentric Stiffness (3) fails.,1.368e-03,2.662e-03,2.590e-03,3.769e-04,Simulation Eccentric Stiffness (3) fails.,1.172e-03,4.663e-04,9.659e-04,1.273e-03,3.026e-03,2.035e-03,2.772e-03,1.580e-03,1.331e-03,1.341e-03,8.539e-04,1.337e-03,2.781e-03,1.116e-03,8.766e-04,2.251e-03,3.967e-03,1.176e-03,1.012e-03,8.903e-04,8.884e-04,7.522e-03,9.436e-04,5.566e-03,1.728e-03,1.483e-03,1.561e-03,2.814e-03,6.951e-04,1.513e-03,5.214e-04,2.789e-03,2.158e-03,1.006e-03,1.066e-03,5.603e-04,1.585e-03,1.340e-03,4.452e-04,1.405e-03,1.087e-03,1.491e-03,9.852e-04,1.310e-03,8.120e-04,2.139e-03,2.223e-03,1.433e-03,2.815e-03,3.122e-03,9.255e-03,1.807e-03,1.431e-03,1.891e-03,1.208e-03,1.166e-03,4.414e-04,1.829e-03,3.453e-03,1.815e-03,1.574e-03,9.793e-04,7.101e-04,1.946e-03,2.469e-03,3.561e-03,1.504e-03,6.715e-04,1.269e-03,1.286e-03,2.040e-03,3.983e-04,3.783e-04,9.198e-04,4.587e-03,3.666e-03,9.130e-04,1.946e-03,1.099e-03,1.200e-03,7.343e-04,9.734e-04,1.274e-03,4.303e-03,2.906e-03,4.220e-04,2.682e-03,8.564e-04,1.299e-03,7.959e-04,6.506e-04,2.182e-03,1.527e-03,2.659e-03,9.489e-04,6.884e-04,1.430e-03,4.113e-04,1.149e-03,Simulation Eccentric Stiffness (3) fails.,1.439e-03,1.305e-03,9.584e-04,2.991e-03,7.913e-04,1.127e-03
