Design Study 1
Scenarios/Iterations:, 156
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156
DT Thickness,,m,0.00055675,1.99e-05,0.002202,0.001404,0.001163,0.001688,0.003593,0.00056455,0.004826,0.001866,0.00094919,0.001786,0.001028,0.004074,0.001051,0.001041,0.00030836,0.002596,0.001378,0.002937,0.00026166,0.002069,0.002912,0.00206,0.00099301,0.00027058,0.002632,0.00089824,0.004222,0.002996,0.00709,0.003176,0.009585,0.001674,0.002708,0.004975,0.002172,0.00099966,0.002935,0.003508,0.002054,0.003411,0.001316,0.00033186,0.00347,0.00053908,0.00044929,0.001899,0.00014344,0.002647,0.002111,0.00292,0.007467,0.008497,0.003239,0.0004721,0.01027,0.00024848,0.002778,0.00092308,0.001671,0.001171,0.003005,0.001426,0.002891,0.00165,0.002363,0.002861,0.003736,0.002394,6.381e-05,0.00025362,0.001004,0.002757,0.00059201,0.005705,0.003973,0.004477,0.005187,0.004068,0.002235,0.002597,0.001623,0.002646,0.002685,0.002698,0.009328,0.002908,0.00047604,0.001366,0.007311,0.002853,0.002603,0.003585,0.001088,0.002402,0.004504,0.001109,0.002126,0.001578,0.003125,0.003973,0.001539,0.008821,0.00083449,0.001098,0.00142,0.001143,0.001393,0.003019,0.00052153,0.00053886,0.004132,0.002587,0.00011028,0.00188,0.002555,0.003157,0.003859,0.002347,0.001632,0.001625,0.002134,0.002284,0.001196,0.004123,0.002551,0.00078251,0.00038899,0.00056366,0.001696,0.007161,0.00026155,0.006254,0.002163,0.00029074,0.002141,0.006857,0.003846,0.001681,0.00082353,0.001638,0.00090794,0.002434,0.002528,0.002679,0.001861,0.00070538,0.001741,0.002694,0.00012878,0.003309,0.001684,0.003184,0.003358,0.005451,0.002485
DT Length,,N/A,0.001428,0.658668,0.746610,0.631232,0.658678,0.566212,0.545023,0.671355,0.614093,0.660836,0.588872,0.636160,0.612900,0.714727,0.636122,0.578462,0.653137,0.624420,0.661238,0.639835,0.608859,0.651255,0.610408,0.610052,0.665217,0.740537,0.473867,0.641456,0.490235,0.639544,0.709665,0.663264,0.648929,0.651414,0.658924,0.637665,0.655908,0.635365,0.724941,0.634379,0.637733,0.709549,0.665725,0.653246,0.701225,0.502953,0.676077,0.711620,0.625240,0.658029,0.601589,0.741248,0.682085,0.638629,0.632419,0.651058,0.636529,0.659604,0.653344,0.633488,0.656923,0.657222,0.551955,0.590431,0.469289,0.564905,0.662446,0.643058,0.661632,0.875786,0.643995,0.615243,0.753382,0.557313,0.618696,0.681659,0.705603,0.658522,0.612470,0.608795,0.631323,0.640359,0.626713,0.621795,0.703202,0.653636,0.663521,0.601025,0.668011,0.741562,0.681540,0.662981,0.628938,0.667815,0.718306,0.878897,0.646914,0.652600,0.629725,0.694163,0.676409,0.620837,0.608088,0.628640,0.655715,0.599307,0.697232,0.669888,0.660446,0.594811,0.748768,0.633940,0.711415,0.664894,0.779073,0.665093,0.668500,0.634846,0.656867,0.651912,0.644634,0.681732,0.628172,0.647536,0.671224,0.654975,0.653944,0.660505,0.671765,0.629042,0.710871,0.646749,0.664048,0.642249,0.728345,0.766728,0.709603,0.625177,0.637730,0.699642,0.636232,0.667698,0.648037,0.660461,0.648169,0.641333,0.651615,0.662837,0.612415,0.663329,0.684661,0.664634,0.702407,0.658393,0.636098,0.572140,0.651581
Min FS 1,Monitor Only,,2.363e-01,7.233e-02,2.639e-01,3.572e+00,1.369e-01,9.220e-01,7.565e-01,2.955e-01,3.801e-01,3.669e-01,1.159e+00,1.284e+00,2.387e-01,5.395e-02,2.064e-01,8.080e-02,9.987e-02,4.573e-01,8.934e-01,8.506e-01,3.787e-01,9.564e-01,3.768e-01,8.898e-01,3.309e-01,1.385e-01,1.207e-01,2.241e-01,4.435e-01,1.873e-01,1.491e+00,3.233e-01,4.159e-01,1.692e-01,4.559e-01,4.289e-01,3.150e-01,1.261e+00,1.046e+00,3.911e-01,8.371e-01,6.346e-01,2.627e-01,2.606e-01,3.066e-01,6.409e-02,5.568e-01,3.678e-01,2.950e-01,1.532e+00,1.338e+00,1.075e+00,4.173e-01,6.107e-01,2.596e-01,5.660e-01,1.685e+00,6.661e-01,1.400e+00,5.640e-01,3.101e-01,3.237e-01,1.144e+00,2.384e-01,5.150e-01,1.264e+00,3.661e-01,9.543e-02,4.230e-01,2.299e-01,1.302e-01,2.722e-01,6.102e-01,9.929e-01,6.076e-01,8.105e-01,2.292e-01,8.605e-01,1.655e+00,1.283e+00,1.210e+00,1.262e+00,7.982e-01,2.949e-01,1.170e+00,4.243e-01,4.537e-01,1.944e+00,3.648e-02,2.428e-01,3.933e-01,3.256e-01,1.796e+00,4.351e-01,1.878e-01,7.310e-01,8.609e-01,1.013e+00,4.366e-01,1.886e+00,3.230e-01,5.921e-01,2.530e-01,1.576e+00,4.920e-01,7.028e-01,6.146e-01,2.577e-01,4.090e-01,5.710e-01,1.290e-01,7.150e-01,2.709e+00,2.727e-01,8.125e-01,2.684e-01,3.207e-01,1.543e+00,3.497e-01,3.431e-01,2.123e-01,5.836e-01,9.033e-01,2.398e-01,2.283e-01,4.239e-01,8.446e-01,1.977e-01,1.289e-01,6.590e-01,1.050e+00,3.347e-01,2.191e-01,1.696e+00,1.750e+00,7.922e-02,5.824e-01,1.080e+00,2.071e-01,6.268e-01,1.039e+00,2.646e-01,3.057e-01,2.937e-01,2.928e-01,3.891e-01,3.058e-01,2.351e-01,Simulation Eccentric Stiffness (3) fails.,8.725e-01,2.199e-01,2.991e-01,2.760e-01,3.408e-01,1.129e+00,1.391e+00,3.641e-01
Max Stress 1,Monitor Only, N/m^2,1.947e+09,6.359e+09,1.042e+09,2.316e+08,2.009e+09,4.989e+08,3.635e+08,2.800e+09,1.210e+09,1.254e+09,2.374e+08,3.582e+08,1.927e+09,5.097e+09,2.228e+09,3.404e+09,4.606e+09,1.006e+09,5.149e+08,3.233e+08,2.185e+09,8.651e+08,1.221e+09,5.170e+08,1.390e+09,3.322e+09,2.278e+09,1.227e+09,1.037e+09,2.456e+09,3.085e+08,1.423e+09,1.106e+09,2.719e+09,1.009e+09,1.072e+09,1.460e+09,6.563e+08,7.908e+08,1.176e+09,9.884e+08,1.304e+09,1.047e+09,1.765e+09,1.500e+09,7.177e+09,1.486e+09,1.251e+09,2.804e+09,3.002e+08,2.055e+08,4.279e+08,1.102e+09,7.532e+08,1.772e+09,4.859e+08,2.730e+08,6.906e+08,5.911e+08,1.467e+09,1.484e+09,1.421e+09,4.022e+08,1.929e+09,8.932e+08,2.176e+08,1.256e+09,4.820e+09,1.087e+09,2.001e+09,3.532e+09,1.690e+09,1.356e+09,2.770e+08,4.526e+08,1.021e+09,2.007e+09,9.614e+08,1.661e+08,3.584e+08,6.839e+08,3.645e+08,3.445e+08,9.326e+08,3.931e+08,1.084e+09,1.014e+09,1.415e+08,1.261e+10,1.895e+09,1.170e+09,1.413e+09,1.531e+08,1.057e+09,1.464e+09,6.293e+08,3.194e+08,4.539e+08,1.895e+09,4.387e+08,1.424e+09,7.769e+08,1.087e+09,2.920e+08,1.682e+09,3.913e+08,1.346e+09,1.785e+09,2.023e+09,8.055e+08,3.566e+09,6.434e+08,1.698e+08,1.008e+09,5.662e+08,1.714e+09,1.434e+09,2.982e+08,1.315e+09,1.341e+09,1.295e+09,1.418e+09,5.093e+08,1.918e+09,2.014e+09,1.085e+09,9.796e+08,2.327e+09,3.569e+09,6.981e+08,2.619e+08,1.375e+09,3.777e+09,2.713e+08,1.571e+08,3.471e+09,1.421e+09,7.663e+08,1.328e+09,1.320e+09,7.965e+08,1.039e+09,1.505e+09,1.566e+09,1.571e+09,1.182e+09,1.504e+09,1.956e+09,Simulation Eccentric Stiffness (3) fails.,9.482e+08,3.763e+09,1.538e+09,9.963e+08,1.350e+09,4.076e+08,3.308e+08,1.263e+09
Min FS 3,Monitor Only,,6.381e-01,2.378e-01,6.274e-01,2.573e+00,3.963e-01,2.226e+00,8.631e-01,7.129e-01,1.179e+00,1.043e+00,9.547e-01,1.104e+00,7.260e-01,1.358e-01,4.036e-01,2.082e-01,2.918e-01,1.412e+00,8.527e-01,7.026e-01,1.225e+00,2.615e+00,1.080e+00,1.021e+00,9.162e-01,4.556e-01,3.286e-01,7.855e-01,1.371e+00,5.239e-01,1.234e+00,8.401e-01,1.344e+00,4.369e-01,1.297e+00,1.191e+00,8.283e-01,3.716e+00,2.886e+00,1.082e+00,2.393e+00,2.037e+00,6.342e-01,7.741e-01,7.667e-01,1.593e-01,8.111e-01,1.132e+00,3.172e-01,1.332e+00,1.659e+00,9.152e-01,1.192e+00,1.810e+00,8.180e-01,5.180e-01,1.664e+00,5.255e-01,3.907e+00,1.629e+00,7.899e-01,9.241e-01,1.601e+00,7.281e-01,1.589e+00,2.351e+00,1.004e+00,5.314e-01,1.160e+00,7.601e-01,4.377e-01,7.185e-01,1.456e+00,1.338e+00,5.796e-01,2.092e+00,6.809e-01,2.360e+00,1.487e+00,1.391e+00,3.437e+00,1.139e+00,5.947e-01,1.153e+00,9.337e-01,1.126e+00,1.190e+00,1.997e+00,2.248e-02,7.680e-01,1.068e+00,5.868e-01,1.284e+00,1.205e+00,5.464e-01,5.443e-01,6.716e-01,8.002e-01,1.264e+00,2.083e+00,8.955e-01,4.280e-01,8.175e-01,1.516e+00,1.307e+00,7.497e-01,1.830e+00,8.740e-01,1.063e+00,1.931e+00,3.249e-01,6.705e-01,1.144e+00,7.427e-01,7.092e-01,7.091e-01,7.833e-01,1.313e+00,9.102e-01,9.968e-01,5.467e-01,7.136e-01,1.097e+00,7.227e-01,6.510e-01,5.329e-01,2.599e+00,4.630e-01,3.804e-01,9.607e-01,8.101e-01,1.172e+00,5.768e-01,1.646e+00,1.168e+00,1.806e-01,1.567e+00,3.445e+00,5.882e-01,1.902e+00,1.258e+00,7.403e-01,8.530e-01,7.596e-01,7.985e-01,1.134e+00,7.332e-01,6.373e-01,Simulation Eccentric Stiffness (3) fails.,2.403e+00,6.554e-01,6.529e-01,7.592e-01,9.008e-01,6.478e-01,1.855e+00,1.041e+00
Max Stress 3,Monitor Only, N/m^2,7.209e+08,1.934e+09,4.383e+08,3.215e+08,6.940e+08,2.067e+08,3.186e+08,1.161e+09,3.900e+08,4.412e+08,2.881e+08,4.167e+08,6.336e+08,2.025e+09,1.140e+09,1.321e+09,1.577e+09,3.258e+08,5.394e+08,3.914e+08,6.756e+08,3.164e+08,4.260e+08,4.505e+08,5.021e+08,1.010e+09,8.369e+08,3.501e+08,3.355e+08,8.780e+08,3.728e+08,5.475e+08,3.422e+08,1.053e+09,3.546e+08,3.862e+08,5.554e+08,2.227e+08,2.867e+08,4.253e+08,3.457e+08,4.063e+08,4.336e+08,5.943e+08,6.000e+08,2.887e+09,1.020e+09,4.063e+08,2.608e+09,3.452e+08,1.657e+08,5.026e+08,3.858e+08,2.542e+08,5.623e+08,5.309e+08,2.765e+08,8.754e+08,2.118e+08,5.079e+08,5.824e+08,4.978e+08,2.872e+08,6.318e+08,2.896e+08,1.170e+08,4.583e+08,8.656e+08,3.967e+08,6.052e+08,1.051e+09,6.402e+08,5.682e+08,2.055e+08,4.745e+08,3.955e+08,6.755e+08,3.506e+08,1.849e+08,3.307e+08,2.407e+08,4.038e+08,4.624e+08,2.385e+08,4.927e+08,4.085e+08,3.867e+08,1.377e+08,2.046e+10,5.990e+08,4.309e+08,7.839e+08,2.141e+08,3.817e+08,5.033e+08,8.451e+08,4.095e+08,5.748e+08,6.546e+08,3.972e+08,5.137e+08,1.075e+09,3.364e+08,3.034e+08,6.328e+08,3.668e+08,4.521e+08,5.263e+08,7.786e+08,2.382e+08,1.416e+09,6.861e+08,4.021e+08,3.703e+08,6.486e+08,6.487e+08,5.872e+08,3.503e+08,5.054e+08,4.615e+08,5.030e+08,1.159e+09,4.193e+08,6.365e+08,7.066e+08,8.632e+08,3.183e+08,9.935e+08,1.209e+09,4.788e+08,3.395e+08,3.923e+08,1.434e+09,2.795e+08,2.355e+08,1.522e+09,5.280e+08,2.402e+08,4.675e+08,4.349e+08,6.578e+08,3.715e+08,5.393e+08,6.056e+08,5.761e+08,4.058e+08,6.274e+08,7.218e+08,Simulation Eccentric Stiffness (3) fails.,3.443e+08,1.262e+09,7.045e+08,3.622e+08,5.107e+08,7.101e+08,2.480e+08,4.418e+08
Mass,Monitor Only, kg,4.72,3.47,2.15,3.67,1.54,4.88,1.44,2.94,5.44,4.93,1.83,3.89,3.84,3.27,3.76,1.1,2.78,3.52,4.32,2.15,2.47,3.69,7.86,3.95,5.05,3.22,1.95,1.2,6.1,4.65,7.89,5.45,7.04,4.76,7.22,4.69,3.91,3.82,3.56,4.85,2.72,3.24,2.2,4.06,5.86,4.27,2.29,3.92,2.71,5.27,1.87,5.71,6.39,7.88,5.93,1.23,6.6,3.21,3.72,2.95,5.04,5.88,4.89,2.31,5.05,2.3,5.81,3.57,6.52,8.88,3.99,3.37,3.19,1.64,1.63,4.97,4.9,3.87,2.6,5.83,3.28,5.09,1.4,2.15,6.42,6.5,8.07,2.13,3,7.12,6.88,4.81,2.16,6.2,1.83,5.86,1.67,3.86,2.36,3.24,4.82,4.7,1.47,6.73,2.72,1.48,2.68,4.43,2.59,4.06,3.85,3.86,7.32,2.03,4.53,5.38,4.11,6.78,5.55,6.9,2.02,2.2,3.8,4.46,4.64,5.89,4.08,4.33,4.39,3.56,2.41,7.1,2.01,6.62,3.07,1.71,2.69,3.99,1.65,2.64,1.88,2.14,4.28,5.4,6,4.75,4.06,3.92,Simulation Eccentric Stiffness (3) fails.,3.41,2.13,6.86,1.86,5.8,4.13,4.85,4.85
Dropout X Displacement,Monitor Only, m,2.916e-02,4.942e-02,2.673e-02,-4.131e-03,-1.815e-02,-5.282e-03,-6.720e-03,7.184e-02,1.045e-02,1.604e-02,-5.318e-03,-4.389e-03,2.284e-02,1.427e-02,2.416e-02,-1.707e-02,6.906e-02,1.179e-02,-6.291e-03,-1.136e-02,5.428e-02,1.891e-02,1.053e-02,-6.329e-03,1.923e-02,5.906e-02,1.199e-01,4.671e-02,1.173e-02,-8.105e-03,-3.799e-03,1.515e-02,8.324e-03,1.889e-02,1.206e-02,1.178e-02,1.939e-02,1.358e-02,2.076e-02,1.153e-02,2.091e-02,2.569e-02,3.650e-02,2.676e-02,1.449e-02,7.806e-02,3.807e-02,2.035e-02,-1.867e-02,-3.621e-03,-5.986e-03,-6.057e-03,1.204e-02,6.496e-03,9.993e-03,-1.539e-02,-2.091e-03,-9.184e-03,1.134e-02,3.577e-02,1.649e-02,1.803e-02,-4.017e-03,2.600e-02,9.393e-03,-4.881e-03,1.470e-02,1.666e-02,1.139e-02,3.809e-02,4.515e-02,2.148e-02,3.679e-02,-7.578e-03,-1.601e-02,1.980e-02,1.327e-02,1.992e-02,-4.380e-03,-2.952e-03,1.157e-02,-4.205e-03,-1.476e-02,-8.790e-03,-5.763e-03,1.118e-02,9.464e-03,-2.955e-03,3.342e-02,3.055e-02,9.838e-03,1.755e-02,-3.531e-03,1.110e-02,5.489e-02,-8.400e-03,-8.893e-03,-6.535e-03,4.304e-02,-8.896e-03,1.655e-02,-1.012e-02,3.548e-02,-2.516e-03,3.702e-02,-1.447e-02,4.396e-02,1.980e-02,3.849e-02,9.035e-03,5.268e-02,-8.744e-03,-1.672e-03,3.519e-02,-7.767e-03,2.270e-02,1.534e-02,-3.241e-03,1.263e-02,1.538e-02,4.776e-02,2.701e-02,-5.876e-03,1.862e-02,2.901e-02,1.094e-02,2.330e-02,2.642e-02,4.584e-02,-6.308e-03,-9.523e-03,9.251e-03,8.635e-02,-2.672e-03,-5.406e-03,6.601e-02,4.056e-02,1.363e-02,4.318e-02,3.906e-02,-1.638e-02,3.428e-02,2.047e-02,1.618e-02,1.454e-02,1.393e-02,1.820e-02,2.671e-02,Simulation Eccentric Stiffness (3) fails.,2.005e-02,1.187e-01,1.162e-02,3.311e-02,1.237e-02,-4.824e-03,-2.798e-03,1.520e-02
Dropout Y Displacement,Monitor Only, m,-6.198e-02,-1.003e-01,-6.490e-02,7.866e-03,2.838e-02,8.450e-03,8.968e-03,-1.494e-01,-1.755e-02,-3.245e-02,1.020e-02,8.273e-03,-4.368e-02,-4.153e-02,-4.322e-02,2.751e-02,-1.271e-01,-2.044e-02,1.183e-02,2.199e-02,-8.672e-02,-3.765e-02,-3.024e-02,1.015e-02,-3.644e-02,-1.565e-01,-3.185e-01,-7.582e-02,-1.908e-02,1.672e-02,8.001e-03,-3.152e-02,-1.822e-02,-3.884e-02,-2.433e-02,-2.008e-02,-3.737e-02,-2.132e-02,-4.410e-02,-2.263e-02,-3.779e-02,-5.098e-02,-7.918e-02,-4.777e-02,-3.689e-02,-1.986e-01,-7.105e-02,-2.905e-02,2.873e-02,7.298e-03,8.664e-03,1.555e-02,-2.406e-02,-1.177e-02,-2.735e-02,2.658e-02,4.674e-03,1.798e-02,-2.271e-02,-6.755e-02,-3.579e-02,-3.239e-02,6.948e-03,-3.803e-02,-1.425e-02,6.457e-03,-3.212e-02,-3.210e-02,-2.356e-02,-1.261e-01,-7.392e-02,-3.905e-02,-8.362e-02,9.269e-03,2.380e-02,-4.523e-02,-2.117e-02,-4.064e-02,7.990e-03,7.305e-03,-2.195e-02,7.971e-03,2.253e-02,1.283e-02,1.079e-02,-2.467e-02,-2.028e-02,4.649e-03,-6.133e-02,-7.687e-02,-1.896e-02,-3.516e-02,5.100e-03,-2.272e-02,-1.172e-01,2.037e-02,1.849e-02,1.010e-02,-9.048e-02,1.785e-02,-3.870e-02,1.961e-02,-5.389e-02,3.727e-03,-8.314e-02,1.935e-02,-7.626e-02,-4.212e-02,-7.924e-02,-1.267e-02,-1.244e-01,1.782e-02,3.707e-03,-7.002e-02,1.548e-02,-5.143e-02,-3.704e-02,5.781e-03,-2.991e-02,-3.003e-02,-9.965e-02,-4.017e-02,9.417e-03,-4.428e-02,-5.581e-02,-1.968e-02,-4.507e-02,-5.878e-02,-1.063e-01,1.134e-02,1.935e-02,-1.810e-02,-1.983e-01,4.684e-03,1.093e-02,-1.466e-01,-7.544e-02,-2.154e-02,-8.459e-02,-6.384e-02,2.933e-02,-6.596e-02,-4.231e-02,-3.476e-02,-3.010e-02,-2.453e-02,-3.966e-02,-5.969e-02,Simulation Eccentric Stiffness (3) fails.,-3.348e-02,-2.158e-01,-2.786e-02,-6.695e-02,-2.607e-02,8.357e-03,3.634e-03,-2.721e-02
BB X Displacement,Monitor Only, m,3.419e-02,5.708e-02,3.264e-02,-4.484e-03,-1.787e-02,-4.587e-03,-7.192e-03,8.688e-02,1.220e-02,1.913e-02,-5.730e-03,-4.639e-03,2.725e-02,1.683e-02,2.876e-02,-1.201e-02,8.165e-02,1.460e-02,-6.661e-03,-1.192e-02,6.215e-02,2.244e-02,1.281e-02,-6.071e-03,2.292e-02,6.771e-02,1.401e-01,5.517e-02,1.383e-02,-7.615e-03,-4.138e-03,1.816e-02,1.020e-02,2.280e-02,1.452e-02,1.405e-02,2.292e-02,1.597e-02,2.453e-02,1.391e-02,2.468e-02,3.073e-02,4.469e-02,3.158e-02,1.786e-02,9.595e-02,4.579e-02,2.327e-02,-1.983e-02,-3.901e-03,-5.906e-03,-6.657e-03,1.422e-02,7.793e-03,1.233e-02,-1.652e-02,-2.588e-03,-9.988e-03,1.374e-02,4.256e-02,1.998e-02,2.129e-02,-3.857e-03,3.082e-02,1.116e-02,-4.968e-03,1.780e-02,2.007e-02,1.378e-02,4.419e-02,5.128e-02,2.554e-02,4.417e-02,-7.724e-03,-1.581e-02,2.363e-02,1.578e-02,2.397e-02,-4.271e-03,-3.395e-03,1.389e-02,-4.489e-03,-1.425e-02,-8.518e-03,-5.817e-03,1.347e-02,1.155e-02,-3.014e-03,3.967e-02,3.524e-02,1.151e-02,2.086e-02,-3.720e-03,1.327e-02,6.440e-02,-8.716e-03,-9.717e-03,-6.397e-03,5.258e-02,-9.597e-03,2.000e-02,-1.066e-02,4.153e-02,-2.478e-03,4.348e-02,-1.402e-02,5.123e-02,2.317e-02,4.623e-02,1.081e-02,6.235e-02,-9.255e-03,-1.766e-03,4.202e-02,-8.472e-03,2.748e-02,1.886e-02,-3.536e-03,1.539e-02,1.839e-02,5.607e-02,3.110e-02,-6.248e-03,2.234e-02,3.451e-02,1.268e-02,2.799e-02,3.202e-02,5.442e-02,-6.803e-03,-1.006e-02,1.110e-02,1.028e-01,-2.765e-03,-5.700e-03,7.553e-02,4.789e-02,1.610e-02,5.263e-02,4.545e-02,-1.755e-02,4.092e-02,2.462e-02,1.918e-02,1.740e-02,1.661e-02,2.217e-02,3.252e-02,Simulation Eccentric Stiffness (3) fails.,2.344e-02,1.359e-01,1.433e-02,4.034e-02,1.473e-02,-4.929e-03,-2.621e-03,1.765e-02
BB Y Displacement,Monitor Only, m,-3.635e-02,-5.368e-02,-3.486e-02,3.315e-03,1.487e-02,2.207e-03,4.462e-03,-8.159e-02,-7.934e-03,-1.700e-02,5.460e-03,4.591e-03,-2.081e-02,-1.617e-02,-1.951e-02,1.128e-02,-6.543e-02,-9.196e-03,6.676e-03,1.113e-02,-3.967e-02,-2.114e-02,-1.182e-02,4.915e-03,-1.996e-02,-6.830e-02,-1.388e-01,-3.417e-02,-8.604e-03,6.198e-03,4.372e-03,-1.715e-02,-1.034e-02,-2.087e-02,-1.275e-02,-9.457e-03,-1.882e-02,-1.033e-02,-2.439e-02,-1.202e-02,-1.960e-02,-2.576e-02,-4.054e-02,-2.478e-02,-2.213e-02,-1.194e-01,-3.854e-02,-1.340e-02,1.556e-02,4.030e-03,3.981e-03,8.359e-03,-1.229e-02,-5.704e-03,-1.656e-02,1.311e-02,2.052e-03,1.031e-02,-1.211e-02,-3.517e-02,-2.060e-02,-1.693e-02,2.810e-03,-1.698e-02,-6.178e-03,2.370e-03,-1.760e-02,-1.567e-02,-1.299e-02,-5.395e-02,-3.536e-02,-1.841e-02,-5.057e-02,4.147e-03,1.151e-02,-2.642e-02,-9.630e-03,-2.214e-02,4.269e-03,3.277e-03,-1.131e-02,4.295e-03,1.174e-02,5.938e-03,6.135e-03,-1.446e-02,-1.107e-02,2.162e-03,-2.900e-02,-3.469e-02,-1.039e-02,-1.927e-02,2.928e-03,-1.236e-02,-6.653e-02,1.262e-02,1.045e-02,5.997e-03,-4.569e-02,9.476e-03,-2.153e-02,1.129e-02,-2.292e-02,1.999e-03,-4.998e-02,9.856e-03,-3.754e-02,-2.195e-02,-4.405e-02,-4.980e-03,-6.336e-02,9.426e-03,2.158e-03,-3.940e-02,8.802e-03,-2.738e-02,-2.230e-02,3.249e-03,-1.763e-02,-1.566e-02,-5.630e-02,-1.998e-02,4.590e-03,-2.588e-02,-2.934e-02,-9.847e-03,-2.098e-02,-3.396e-02,-5.302e-02,5.471e-03,1.093e-02,-9.102e-03,-1.218e-01,2.154e-03,6.243e-03,-8.076e-02,-4.142e-02,-8.953e-03,-4.419e-02,-3.050e-02,1.566e-02,-3.476e-02,-2.297e-02,-1.978e-02,-1.679e-02,-1.231e-02,-2.236e-02,-3.364e-02,Simulation Eccentric Stiffness (3) fails.,-1.813e-02,-1.073e-01,-1.621e-02,-3.543e-02,-1.525e-02,4.780e-03,1.447e-03,-1.407e-02
BB Z Displacement,Monitor Only, m,2.085e-03,8.038e-03,2.219e-03,8.923e-04,1.419e-03,7.979e-04,1.755e-03,3.669e-03,7.829e-04,1.195e-03,1.670e-03,1.332e-03,1.774e-03,3.006e-03,2.087e-03,3.132e-03,5.275e-03,1.580e-03,1.336e-03,2.094e-03,3.307e-03,1.558e-03,1.645e-03,1.044e-03,1.324e-03,1.115e-02,1.255e-02,5.369e-03,8.016e-04,9.313e-04,7.633e-04,1.101e-03,9.217e-04,1.138e-03,7.740e-04,1.152e-03,1.078e-03,7.845e-04,1.683e-03,1.025e-03,3.619e-03,1.695e-03,3.310e-03,1.440e-03,1.869e-03,1.942e-03,4.651e-03,1.670e-03,2.262e-03,1.654e-03,1.509e-03,1.870e-03,9.475e-04,5.814e-04,6.791e-04,3.483e-03,8.035e-04,2.449e-03,8.500e-04,3.043e-03,1.349e-03,9.002e-04,8.182e-04,2.260e-03,6.526e-04,9.197e-04,1.531e-03,1.421e-03,9.441e-04,4.119e-03,2.206e-03,4.508e-03,3.814e-03,1.847e-03,1.725e-03,6.769e-04,1.622e-03,1.303e-03,1.031e-03,6.169e-04,1.184e-03,1.072e-03,2.111e-03,9.192e-04,1.052e-03,1.185e-03,7.743e-04,5.523e-04,5.289e-03,2.492e-03,1.721e-03,1.493e-03,9.621e-04,9.513e-04,2.469e-03,1.383e-03,1.616e-03,7.292e-04,1.914e-03,2.526e-03,1.723e-03,1.143e-03,3.057e-03,4.853e-04,2.532e-03,2.244e-03,1.818e-03,1.523e-03,2.536e-03,8.863e-04,4.483e-03,2.113e-03,8.126e-04,2.363e-03,2.211e-03,1.402e-03,1.859e-03,6.922e-04,1.761e-03,1.774e-03,2.980e-03,3.395e-03,1.577e-03,1.284e-03,1.228e-03,1.842e-03,1.843e-03,1.850e-03,2.231e-03,1.285e-03,1.970e-03,6.600e-04,2.317e-03,7.348e-04,8.233e-04,3.211e-03,3.275e-03,1.267e-03,3.128e-03,2.905e-03,3.591e-03,1.914e-03,2.410e-03,8.136e-04,9.868e-04,7.999e-04,1.166e-03,2.356e-03,Simulation Eccentric Stiffness (3) fails.,1.507e-03,5.619e-03,9.291e-04,1.780e-03,1.095e-03,2.477e-03,8.724e-04,8.413e-04
