Design Study 1
Scenarios/Iterations:, 136
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136
Min FS 1,Monitor Only,,3.640e+00,8.265e-01,9.024e-01,7.400e-01,4.103e-01,2.225e-01,3.580e-01,4.997e-01,8.042e-01,1.235e+00,1.071e+00,1.558e+00,4.299e-01,1.394e+00,2.940e-01,1.497e+00,6.380e-01,2.850e-01,2.315e-01,1.181e+00,7.872e-01,4.878e-01,5.068e-01,3.162e-01,4.099e-01,Simulation Eccentric Stiffness (3) fails.,4.216e-01,1.206e+00,3.773e-01,1.325e-01,4.865e+00,2.081e-01,1.977e-01,2.075e+00,7.535e-01,1.816e-01,3.396e-01,1.338e-01,3.930e-01,3.482e-01,Simulation Eccentric Stiffness (3) fails.,3.173e-01,4.226e-01,3.754e-01,1.528e+00,1.424e-01,2.410e-01,6.345e-01,2.150e-01,3.123e-01,3.519e-01,1.772e-01,8.341e-01,2.900e-01,1.105e+00,2.779e-01,3.558e-01,3.471e-01,3.755e-01,4.171e-01,8.139e-01,1.204e+00,3.150e-01,1.043e+00,1.463e+00,1.024e-01,2.370e-01,1.671e+00,1.041e+00,1.241e+00,2.164e-01,3.998e-02,1.585e+00,4.623e-01,1.267e+00,6.384e-01,5.993e-01,3.807e-01,2.783e-01,1.371e+00,7.802e-01,7.306e-01,1.522e-01,3.819e-01,4.183e-01,9.674e-02,2.192e-01,3.707e-01,2.298e-01,2.382e+00,4.692e-01,2.257e-01,3.710e-01,5.169e-01,1.239e+00,1.385e+00,1.179e+00,2.096e+00,5.120e-01,5.431e-01,7.998e-01,2.084e-01,1.742e+00,4.092e-01,1.918e+00,1.626e+00,1.938e-01,6.945e-01,2.213e+00,4.164e-01,5.617e-01,5.865e-01,8.989e-01,1.148e-01,2.138e-01,2.834e-01,1.513e-01,1.063e+00,2.599e-01,6.295e-01,4.997e-01,4.193e-01,8.386e-01,7.349e-01,9.573e-01,3.566e-01,9.399e-02,6.223e-01,2.605e-01,9.668e-01,7.559e-01,4.452e-01,3.528e-01,3.577e-01,3.681e-01,7.858e-01,4.358e-01
Max Stress 1,Monitor Only, N/m^2,2.273e+08,3.327e+08,9.169e+08,6.216e+08,2.016e+09,2.067e+09,1.285e+09,9.206e+08,5.720e+08,3.723e+08,4.295e+08,1.765e+08,1.070e+09,3.301e+08,9.354e+08,3.073e+08,1.297e+09,1.614e+09,1.188e+09,7.003e+08,1.051e+09,9.430e+08,1.632e+09,1.455e+09,1.122e+09,Simulation Eccentric Stiffness (3) fails.,1.091e+09,3.814e+08,1.219e+09,6.244e+09,1.701e+08,2.211e+09,1.391e+09,3.987e+08,6.105e+08,2.533e+09,1.354e+09,3.439e+09,1.170e+09,1.321e+09,Simulation Eccentric Stiffness (3) fails.,1.450e+09,1.089e+09,2.204e+09,3.011e+08,3.231e+09,1.909e+09,4.334e+08,2.139e+09,8.805e+08,1.307e+09,2.596e+09,9.919e+08,1.586e+09,2.488e+08,1.655e+09,1.293e+09,1.325e+09,1.225e+09,1.983e+09,1.016e+09,3.821e+08,1.460e+09,4.411e+08,3.143e+08,4.491e+09,1.941e+09,2.752e+08,4.417e+08,3.706e+08,1.271e+09,1.151e+10,2.902e+08,9.950e+08,3.632e+08,4.307e+08,1.380e+09,1.208e+09,1.653e+09,2.006e+08,1.060e+09,6.296e+08,3.022e+09,1.204e+09,1.100e+09,4.755e+09,1.255e+09,1.241e+09,1.197e+09,3.473e+08,5.861e+08,1.218e+09,2.230e+09,1.601e+09,6.676e+08,5.974e+08,3.900e+08,3.947e+08,1.616e+09,5.063e+08,5.752e+08,2.208e+09,2.641e+08,1.124e+09,2.399e+08,2.828e+08,2.374e+09,1.191e+09,3.739e+08,1.105e+09,1.473e+09,4.689e+08,9.205e+08,7.209e+09,2.152e+09,1.623e+09,1.818e+09,4.328e+08,3.183e+09,4.368e+08,9.206e+08,1.097e+09,5.486e+08,3.742e+08,2.873e+08,1.290e+09,4.894e+09,1.330e+09,1.056e+09,4.758e+08,6.085e+08,1.033e+09,1.304e+09,1.286e+09,1.250e+09,3.500e+08,1.056e+09
Min FS 3,Monitor Only,,2.577e+00,6.888e-01,2.313e+00,1.253e+00,7.711e-01,6.473e-01,1.029e+00,1.499e+00,7.671e-01,1.139e+00,8.261e-01,1.526e+00,1.159e+00,1.664e+00,7.860e-01,1.472e+00,1.777e+00,8.251e-01,2.042e+00,5.687e+00,2.204e+00,1.393e+00,1.138e+00,8.584e-01,1.251e+00,Simulation Eccentric Stiffness (3) fails.,1.052e+00,1.872e+00,1.031e+00,8.342e-02,1.214e+01,5.516e-01,5.482e-01,1.985e+00,8.165e-01,5.173e-01,1.034e+00,4.941e-01,1.001e+00,9.339e-01,Simulation Eccentric Stiffness (3) fails.,1.014e+00,5.368e-01,1.175e+00,1.344e+00,1.718e-01,6.381e-01,5.127e-01,6.659e-01,2.482e-01,9.423e-01,5.019e-01,9.056e-01,6.785e-01,8.463e-01,8.730e-01,9.675e-01,9.116e-01,9.538e-01,1.234e+00,2.410e+00,1.301e+00,6.212e-01,1.995e+00,1.165e+00,1.706e-01,6.849e-01,1.059e+00,1.358e+00,9.999e-01,6.118e-01,5.381e-01,1.782e+00,1.221e+00,1.163e+00,3.749e+00,1.100e+00,6.126e-01,7.962e-01,1.471e+00,2.182e+00,7.042e-01,4.246e-01,1.113e+00,1.160e+00,3.371e-01,6.447e-01,9.890e-01,6.373e-01,1.897e+00,1.315e+00,6.115e-01,1.118e+00,1.478e+00,2.834e+00,1.410e+00,8.424e-01,1.958e+00,1.426e+00,5.298e-01,5.634e-01,6.323e-01,1.492e+00,1.148e+00,1.465e+00,1.240e+00,5.712e-01,1.886e+00,2.159e+00,1.194e+00,1.629e+00,6.003e-01,2.684e+00,1.235e+00,5.237e-01,8.899e-01,5.688e-01,8.329e-01,5.343e-01,4.402e-01,1.356e+00,1.158e+00,8.626e-01,6.987e-01,1.063e+00,8.888e-01,1.974e-01,1.763e+00,7.026e-01,8.517e-01,8.679e-01,1.297e+00,7.108e-01,9.809e-01,9.864e-01,6.686e-01,8.955e-01
Max Stress 3,Monitor Only, N/m^2,3.211e+08,3.992e+08,3.577e+08,3.671e+08,1.073e+09,7.106e+08,4.471e+08,3.068e+08,5.996e+08,4.039e+08,5.568e+08,1.802e+08,3.969e+08,2.765e+08,3.499e+08,3.125e+08,4.656e+08,5.575e+08,1.347e+08,1.455e+08,3.754e+08,3.303e+08,7.270e+08,5.359e+08,3.677e+08,Simulation Eccentric Stiffness (3) fails.,4.372e+08,2.457e+08,4.461e+08,9.919e+09,6.818e+07,8.340e+08,5.016e+08,4.169e+08,5.634e+08,8.893e+08,4.447e+08,9.309e+08,4.597e+08,4.925e+08,Simulation Eccentric Stiffness (3) fails.,4.534e+08,8.569e+08,7.039e+08,3.424e+08,2.677e+09,7.209e+08,5.364e+08,6.908e+08,1.108e+09,4.882e+08,9.166e+08,9.136e+08,6.780e+08,3.250e+08,5.269e+08,4.754e+08,5.046e+08,4.823e+08,6.705e+08,3.434e+08,3.535e+08,7.405e+08,2.306e+08,3.950e+08,2.697e+09,6.716e+08,4.345e+08,3.386e+08,4.600e+08,4.495e+08,8.549e+08,2.581e+08,3.768e+08,3.956e+08,7.336e+07,7.524e+08,7.509e+08,5.778e+08,1.869e+08,3.792e+08,6.532e+08,1.083e+09,4.134e+08,3.965e+08,1.364e+09,4.265e+08,4.651e+08,4.315e+08,4.361e+08,2.092e+08,4.497e+08,7.400e+08,5.599e+08,2.919e+08,5.869e+08,5.461e+08,4.226e+08,5.804e+08,5.191e+08,8.164e+08,7.275e+08,3.082e+08,4.006e+08,3.139e+08,3.711e+08,8.053e+08,4.386e+08,3.833e+08,3.854e+08,5.078e+08,4.581e+08,3.083e+08,6.700e+08,8.783e+08,5.169e+08,4.835e+08,5.523e+08,1.549e+09,6.248e+08,3.393e+08,3.973e+08,5.333e+08,3.936e+08,2.587e+08,5.175e+08,2.330e+09,4.692e+08,3.914e+08,5.401e+08,5.300e+08,3.547e+08,6.472e+08,4.690e+08,4.663e+08,4.113e+08,5.137e+08
Mass,Monitor Only, kg,3.67,1.54,3.51,5.35,2.78,3.54,4.99,6.45,5.36,4.33,5.07,2.18,5.46,5.61,1.65,5.84,3.5,3.56,1.13,3.7,3.4,5.42,2.39,4.52,5.98,Simulation Eccentric Stiffness (3) fails.,5.52,5,5.83,2.94,7.28,3.77,1.85,3.29,3.97,4.73,3.76,4.31,5.61,4.71,Simulation Eccentric Stiffness (3) fails.,5.15,2.53,2.51,4.19,4.72,5.18,2.04,3.95,1.29,5.68,2.1,2.83,5.62,2.18,3.61,6.27,5.63,5.01,2.26,2.58,5.91,3.65,5.03,5.41,5.02,3.57,6.37,4.52,4.71,1.37,2.42,3.86,5.72,3.55,1.35,2.76,3.3,4.44,2.58,3.34,4.39,5.02,3.02,6.3,4.69,2.23,5.59,1.96,2.76,1.82,1.64,3.79,2.87,2.63,2.35,4.79,2.88,3.05,1.85,3.52,4.69,8.45,6.36,7.23,4.67,3.73,4.06,2.49,4.91,2.57,1.36,3.78,1.67,4.85,3.45,2.03,5.56,2.14,1.96,7.27,5.8,4.87,1.93,2.43,6.5,3.62,2.79,1.73,4.8,3.52,6.94,6.17,5.51,6.69,2.17,4.53
Dropout X Displacement,Monitor Only, m,-4.131e-03,-1.119e-02,1.286e-02,-8.479e-03,2.474e-02,-4.628e-03,1.599e-02,8.678e-03,-5.823e-03,-4.177e-03,-7.485e-03,-5.050e-03,1.276e-02,-3.788e-03,3.443e-02,-3.688e-03,3.166e-02,2.432e-02,-6.501e-03,7.935e-03,2.246e-02,1.129e-02,3.465e-02,1.938e-02,1.275e-02,Simulation Eccentric Stiffness (3) fails.,1.320e-02,-2.585e-03,1.441e-02,2.442e-02,2.107e-03,2.263e-02,4.483e-02,-8.075e-03,-6.718e-03,2.256e-02,1.841e-02,-2.024e-02,1.155e-02,1.489e-02,Simulation Eccentric Stiffness (3) fails.,1.324e-02,-1.568e-02,3.361e-02,-3.761e-03,1.485e-02,2.774e-02,-1.432e-02,3.251e-02,-2.770e-02,1.328e-02,3.433e-02,2.141e-02,1.907e-02,-7.814e-03,2.437e-02,1.679e-02,1.641e-02,1.336e-02,5.245e-02,2.466e-02,-4.304e-03,-5.529e-03,-2.107e-03,-4.130e-03,-4.532e-03,2.927e-02,-3.156e-03,-3.853e-03,-4.634e-03,5.042e-02,-3.172e-03,-2.630e-03,1.095e-02,-4.055e-03,-3.957e-03,2.016e-02,-6.644e-03,1.717e-02,-5.856e-03,1.977e-02,-5.118e-03,4.598e-02,1.583e-02,1.290e-02,5.117e-02,3.196e-02,1.457e-02,3.848e-02,-7.771e-03,1.574e-02,4.483e-02,6.545e-02,3.550e-02,-7.574e-03,-1.287e-02,-4.960e-03,-9.994e-03,4.560e-02,-2.262e-02,-9.502e-03,2.712e-02,-3.604e-03,1.057e-02,-1.392e-03,-3.426e-03,3.078e-02,3.060e-02,-7.604e-03,1.368e-02,2.922e-02,-1.114e-02,2.127e-02,3.946e-02,3.069e-02,1.347e-02,4.363e-02,-6.853e-03,3.967e-02,-1.584e-02,9.125e-03,1.343e-02,-7.944e-03,-1.299e-02,-5.505e-03,1.212e-02,2.048e-02,2.790e-02,3.523e-02,-4.995e-03,-5.147e-03,1.276e-02,1.493e-02,1.784e-02,1.360e-02,-1.158e-02,-1.579e-02
Dropout Y Displacement,Monitor Only, m,7.866e-03,2.016e-02,-2.680e-02,1.612e-02,-7.221e-02,7.092e-03,-2.998e-02,-1.442e-02,1.238e-02,6.578e-03,1.259e-02,7.768e-03,-2.777e-02,5.921e-03,-6.628e-02,7.003e-03,-6.101e-02,-4.460e-02,1.028e-02,-1.255e-02,-4.358e-02,-1.969e-02,-6.663e-02,-4.619e-02,-2.174e-02,Simulation Eccentric Stiffness (3) fails.,-2.560e-02,2.887e-03,-3.047e-02,-5.201e-02,-4.068e-03,-4.545e-02,-9.560e-02,1.347e-02,1.261e-02,-4.464e-02,-3.058e-02,5.298e-02,-2.561e-02,-3.334e-02,Simulation Eccentric Stiffness (3) fails.,-2.448e-02,2.214e-02,-5.733e-02,5.767e-03,-2.725e-02,-5.651e-02,2.925e-02,-8.386e-02,4.755e-02,-2.827e-02,-6.810e-02,-4.807e-02,-3.192e-02,1.293e-02,-4.071e-02,-3.566e-02,-3.488e-02,-2.588e-02,-9.707e-02,-4.343e-02,6.990e-03,1.080e-02,2.646e-03,7.768e-03,8.003e-03,-5.803e-02,6.664e-03,6.200e-03,9.393e-03,-9.918e-02,6.268e-03,3.797e-03,-2.014e-02,7.059e-03,4.648e-03,-4.405e-02,1.023e-02,-3.205e-02,1.085e-02,-3.847e-02,1.077e-02,-9.757e-02,-2.816e-02,-2.532e-02,-8.794e-02,-5.650e-02,-3.102e-02,-7.313e-02,1.500e-02,-2.954e-02,-9.155e-02,-2.030e-01,-6.803e-02,1.613e-02,2.155e-02,1.017e-02,1.597e-02,-9.977e-02,3.216e-02,2.116e-02,-5.524e-02,7.571e-03,-2.490e-02,3.735e-03,6.199e-03,-6.468e-02,-7.583e-02,1.196e-02,-2.561e-02,-6.066e-02,2.225e-02,-3.523e-02,-7.856e-02,-7.123e-02,-2.852e-02,-8.825e-02,1.479e-02,-6.053e-02,3.479e-02,-1.748e-02,-2.455e-02,1.170e-02,1.971e-02,1.068e-02,-2.944e-02,-5.121e-02,-5.864e-02,-6.772e-02,1.164e-02,8.075e-03,-2.380e-02,-3.572e-02,-3.960e-02,-2.893e-02,2.389e-02,3.953e-02
BB X Displacement,Monitor Only, m,-4.484e-03,-1.220e-02,1.565e-02,-8.091e-03,3.070e-02,-4.613e-03,1.899e-02,1.005e-02,-6.320e-03,-3.975e-03,-7.795e-03,-5.009e-03,1.544e-02,-3.879e-03,4.025e-02,-3.782e-03,3.727e-02,2.868e-02,-6.300e-03,9.366e-03,2.688e-02,1.320e-02,4.229e-02,2.338e-02,1.525e-02,Simulation Eccentric Stiffness (3) fails.,1.590e-02,-2.409e-03,1.695e-02,2.851e-02,2.523e-03,2.699e-02,5.281e-02,-8.555e-03,-6.520e-03,2.647e-02,2.180e-02,-2.159e-02,1.403e-02,1.805e-02,Simulation Eccentric Stiffness (3) fails.,1.548e-02,-1.601e-02,4.016e-02,-3.785e-03,1.726e-02,3.207e-02,-1.576e-02,3.957e-02,-2.744e-02,1.572e-02,3.991e-02,2.641e-02,2.234e-02,-8.000e-03,2.900e-02,2.026e-02,1.894e-02,1.607e-02,6.261e-02,2.955e-02,-4.620e-03,-5.769e-03,-1.912e-03,-4.437e-03,-4.375e-03,3.474e-02,-3.429e-03,-3.793e-03,-4.857e-03,5.906e-02,-3.471e-03,-2.747e-03,1.299e-02,-4.023e-03,-4.077e-03,2.496e-02,-6.179e-03,2.022e-02,-6.367e-03,2.371e-02,-5.264e-03,5.491e-02,1.843e-02,1.552e-02,5.964e-02,3.761e-02,1.733e-02,4.642e-02,-7.589e-03,1.891e-02,5.400e-02,7.819e-02,4.203e-02,-8.529e-03,-1.305e-02,-5.366e-03,-9.902e-03,5.704e-02,-2.023e-02,-1.036e-02,3.187e-02,-3.764e-03,1.277e-02,-1.579e-03,-3.596e-03,3.696e-02,3.698e-02,-7.749e-03,1.612e-02,3.454e-02,-1.220e-02,2.525e-02,4.803e-02,3.592e-02,1.616e-02,5.246e-02,-7.265e-03,4.551e-02,-1.606e-02,1.096e-02,1.558e-02,-7.623e-03,-1.244e-02,-5.808e-03,1.451e-02,2.477e-02,3.366e-02,4.109e-02,-5.395e-03,-4.791e-03,1.475e-02,1.842e-02,2.146e-02,1.620e-02,-1.279e-02,-1.524e-02
BB Y Displacement,Monitor Only, m,3.315e-03,1.134e-02,-1.467e-02,6.419e-03,-4.538e-02,3.511e-03,-1.504e-02,-6.762e-03,6.955e-03,3.602e-03,7.300e-03,3.990e-03,-1.498e-02,2.759e-03,-3.776e-02,3.615e-03,-3.300e-02,-2.283e-02,2.149e-03,-5.553e-03,-2.344e-02,-1.015e-02,-3.242e-02,-2.584e-02,-1.011e-02,Simulation Eccentric Stiffness (3) fails.,-1.391e-02,1.176e-03,-1.712e-02,-2.763e-02,-2.163e-03,-2.456e-02,-5.129e-02,6.886e-03,6.940e-03,-2.432e-02,-1.424e-02,1.948e-02,-1.455e-02,-1.907e-02,Simulation Eccentric Stiffness (3) fails.,-1.240e-02,1.049e-02,-2.644e-02,3.111e-03,-1.406e-02,-3.253e-02,1.687e-02,-3.322e-02,2.838e-02,-1.628e-02,-3.676e-02,-2.428e-02,-1.731e-02,6.573e-03,-1.789e-02,-2.039e-02,-2.037e-02,-1.362e-02,-4.813e-02,-2.118e-02,3.552e-03,5.606e-03,4.925e-04,4.493e-03,4.487e-03,-3.071e-02,4.170e-03,3.081e-03,5.384e-03,-5.127e-02,2.425e-03,1.851e-03,-1.115e-02,3.676e-03,5.860e-04,-2.364e-02,4.879e-03,-1.659e-02,5.168e-03,-1.959e-02,6.399e-03,-5.424e-02,-1.401e-02,-1.368e-02,-4.641e-02,-2.947e-02,-1.795e-02,-3.922e-02,8.051e-03,-1.555e-02,-4.648e-02,-9.804e-02,-3.564e-02,6.639e-03,1.104e-02,6.068e-03,8.548e-03,-5.197e-02,1.724e-02,1.207e-02,-2.918e-02,4.125e-03,-1.277e-02,2.213e-03,3.613e-03,-3.205e-02,-4.268e-02,6.283e-03,-1.319e-02,-3.479e-02,9.289e-03,-1.704e-02,-3.972e-02,-4.313e-02,-1.607e-02,-4.562e-02,8.468e-03,-2.619e-02,1.623e-02,-9.403e-03,-1.354e-02,6.148e-03,1.051e-02,5.058e-03,-1.731e-02,-2.900e-02,-3.077e-02,-3.818e-02,6.581e-03,4.458e-03,-1.212e-02,-2.026e-02,-2.214e-02,-1.690e-02,1.343e-02,1.340e-02
BB Z Displacement,Monitor Only, m,8.923e-04,1.968e-03,1.427e-03,1.723e-03,4.755e-03,8.688e-04,1.031e-03,7.651e-04,1.277e-03,6.872e-04,2.073e-03,1.175e-03,2.161e-03,7.236e-04,3.268e-03,7.827e-04,1.337e-03,2.135e-03,2.018e-03,5.798e-04,2.013e-03,9.054e-04,1.730e-03,2.350e-03,1.038e-03,Simulation Eccentric Stiffness (3) fails.,1.001e-03,4.528e-04,1.119e-03,4.480e-03,3.452e-04,1.270e-03,2.801e-03,1.905e-03,7.194e-04,1.758e-03,1.264e-03,3.489e-03,1.245e-03,8.181e-04,Simulation Eccentric Stiffness (3) fails.,8.286e-04,2.329e-03,1.867e-03,9.083e-04,1.521e-03,1.341e-03,2.327e-03,2.203e-03,2.515e-03,7.488e-04,4.156e-03,3.395e-03,1.210e-03,7.214e-04,2.095e-03,1.161e-03,2.034e-03,9.902e-04,3.814e-03,2.258e-03,9.145e-04,1.195e-03,6.591e-04,8.845e-04,1.505e-03,2.099e-03,1.460e-03,8.103e-04,9.109e-04,2.810e-03,1.170e-03,9.856e-04,7.475e-04,7.999e-04,1.513e-03,1.947e-03,1.075e-03,1.307e-03,9.704e-04,1.383e-03,1.260e-03,1.606e-03,2.504e-03,7.984e-04,2.573e-03,2.480e-03,1.356e-03,2.141e-03,1.411e-03,2.112e-03,3.765e-03,4.903e-03,1.725e-03,1.905e-03,1.674e-03,9.011e-04,1.365e-03,3.483e-03,1.408e-03,3.336e-03,2.553e-03,7.483e-04,6.987e-04,7.875e-04,1.033e-03,1.419e-03,2.240e-03,1.643e-03,9.331e-04,4.191e-03,2.215e-03,1.513e-03,2.839e-03,2.758e-03,1.762e-03,1.743e-03,1.045e-03,2.918e-03,1.822e-03,7.515e-04,9.179e-04,1.192e-03,2.262e-03,1.203e-03,9.519e-04,1.627e-03,1.553e-03,2.192e-03,1.576e-03,9.149e-04,1.236e-03,1.388e-03,1.274e-03,7.114e-04,2.031e-03,2.899e-03
BBR Y Displacement,Monitor Only, m,-2.775e-03,-1.326e-02,-5.571e-03,-4.192e-03,-1.845e-02,-3.443e-03,-5.359e-03,-2.379e-03,-8.281e-03,-4.234e-03,-9.175e-03,-3.913e-03,-5.659e-03,-2.208e-03,-1.442e-02,-3.556e-03,-1.207e-02,-8.198e-03,-1.405e-03,-1.900e-03,-8.655e-03,-4.051e-03,-1.141e-02,-9.737e-03,-3.512e-03,Simulation Eccentric Stiffness (3) fails.,-5.219e-03,-7.459e-04,-6.456e-03,-1.000e-02,-9.467e-04,-9.114e-03,-1.891e-02,-6.351e-03,-7.510e-03,-9.135e-03,-4.846e-03,-1.098e-02,-5.603e-03,-7.254e-03,Simulation Eccentric Stiffness (3) fails.,-4.456e-03,-7.877e-03,-9.009e-03,-3.515e-03,-5.233e-03,-1.232e-02,-1.991e-02,-1.097e-02,-4.001e-02,-6.163e-03,-1.392e-02,-9.256e-03,-6.491e-03,-5.961e-03,-6.015e-03,-7.728e-03,-7.888e-03,-5.031e-03,-1.693e-02,-7.572e-03,-3.172e-03,-6.206e-03,-1.846e-04,-5.449e-03,-5.202e-03,-1.113e-02,-6.423e-03,-2.724e-03,-6.469e-03,-1.868e-02,-2.148e-03,-1.616e-03,-4.238e-03,-3.710e-03,-3.472e-04,-8.842e-03,-4.507e-03,-6.014e-03,-5.077e-03,-7.827e-03,-8.517e-03,-1.972e-02,-5.105e-03,-5.070e-03,-1.708e-02,-1.094e-02,-6.950e-03,-1.456e-02,-8.741e-03,-5.885e-03,-1.682e-02,-3.299e-02,-1.270e-02,-6.724e-03,-1.070e-02,-8.101e-03,-8.680e-03,-1.904e-02,-1.846e-02,-1.476e-02,-1.062e-02,-4.710e-03,-4.622e-03,-3.510e-03,-4.557e-03,-1.114e-02,-1.594e-02,-6.425e-03,-4.736e-03,-1.347e-02,-9.297e-03,-5.928e-03,-1.474e-02,-1.693e-02,-6.316e-03,-1.648e-02,-1.056e-02,-9.381e-03,-1.700e-02,-3.516e-03,-5.068e-03,-6.256e-03,-1.043e-02,-4.159e-03,-6.710e-03,-1.128e-02,-1.107e-02,-1.452e-02,-7.903e-03,-5.522e-03,-4.436e-03,-7.731e-03,-8.330e-03,-6.468e-03,-1.485e-02,-6.272e-03
BBL Y Displacement,Monitor Only, m,-2.459e-03,-1.238e-02,-5.105e-03,-3.739e-03,-1.675e-02,-3.017e-03,-5.009e-03,-2.126e-03,-7.808e-03,-3.931e-03,-8.622e-03,-3.424e-03,-5.108e-03,-1.929e-03,-1.342e-02,-3.264e-03,-1.157e-02,-7.597e-03,-6.661e-04,-1.662e-03,-8.032e-03,-3.739e-03,-9.915e-03,-9.125e-03,-3.161e-03,Simulation Eccentric Stiffness (3) fails.,-4.864e-03,-5.661e-04,-6.077e-03,-3.870e-04,-8.062e-04,-8.586e-03,-1.787e-02,-5.723e-03,-7.136e-03,-8.449e-03,-4.416e-03,-1.014e-02,-5.220e-03,-6.910e-03,Simulation Eccentric Stiffness (3) fails.,-4.111e-03,-7.149e-03,-8.400e-03,-3.165e-03,-4.179e-03,-1.188e-02,-1.898e-02,-1.022e-02,-3.834e-02,-5.853e-03,-1.252e-02,-7.117e-03,-5.919e-03,-5.622e-03,-5.356e-03,-7.357e-03,-7.422e-03,-4.687e-03,-1.583e-02,-6.794e-03,-2.857e-03,-5.627e-03,9.059e-05,-5.131e-03,-3.549e-03,-1.046e-02,-6.001e-03,-2.412e-03,-6.073e-03,-1.744e-02,-1.654e-03,-1.266e-03,-3.942e-03,-3.348e-03,1.963e-04,-7.286e-03,-3.718e-03,-5.664e-03,-4.682e-03,-7.321e-03,-7.767e-03,-1.922e-02,-4.475e-03,-4.774e-03,-1.618e-02,-1.002e-02,-6.506e-03,-1.371e-02,-8.117e-03,-5.195e-03,-1.559e-02,-3.187e-02,-1.204e-02,-6.058e-03,-9.988e-03,-7.711e-03,-8.137e-03,-1.808e-02,-1.785e-02,-1.380e-02,-9.926e-03,-4.381e-03,-4.319e-03,-3.242e-03,-4.154e-03,-1.061e-02,-1.525e-02,-5.747e-03,-4.395e-03,-1.239e-02,-8.346e-03,-5.440e-03,-1.354e-02,-1.622e-02,-5.669e-03,-1.563e-02,-1.016e-02,-6.831e-03,-1.620e-02,-3.256e-03,-4.749e-03,-5.894e-03,-9.551e-03,-4.336e-03,-6.374e-03,-1.057e-02,-1.047e-02,-1.359e-02,-7.368e-03,-5.121e-03,-4.076e-03,-7.228e-03,-7.878e-03,-6.200e-03,-1.404e-02,-5.644e-03
