Design Study 1
Scenarios/Iterations:, 140
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140
Min FS 1,Monitor Only,,9.112e-01,6.470e-01,7.299e-01,1.065e+00,6.867e-01,4.651e-01,9.981e-01,6.939e-01,7.721e-01,2.982e-01,5.896e-01,9.003e-02,2.288e+00,1.540e+00,1.987e-01,2.244e-01,3.305e-01,3.174e-01,6.723e-01,5.563e-01,1.640e-01,4.816e-01,3.131e+00,2.995e-01,4.958e-01,7.386e-01,3.221e-01,3.995e-01,3.643e-01,4.052e-01,2.809e-01,3.416e-01,3.764e-01,1.072e+00,4.835e-01,3.358e-01,4.581e-01,4.343e-01,5.489e-01,5.287e-01,2.212e-01,2.571e-01,4.950e-01,2.178e-01,8.603e-01,3.411e-01,1.057e+00,3.874e-01,Rebuild Error,4.772e-01,1.115e+00,1.119e+00,Rebuild Error,4.457e-01,1.283e+00,1.262e-01,2.001e-01,1.005e+00,1.627e+00,2.258e-01,Simulation Eccentric Stiffness (3) fails.,3.294e-01,2.451e+00,7.541e-01,1.157e+00,1.264e+00,2.018e-01,1.936e+00,1.694e+00,1.602e+00,1.201e+00,2.643e-01,2.265e-01,2.403e-01,4.198e-01,1.731e+00,2.057e+00,2.143e-01,4.134e-01,3.166e-01,3.172e-01,1.185e+00,4.909e-01,1.297e+00,2.446e-01,2.044e-01,2.646e-01,2.977e+00,3.789e-01,1.747e+00,4.168e-01,4.317e+00,1.649e+00,1.495e+00,5.969e-01,1.955e-01,3.618e-01,3.811e-01,2.360e+00,3.424e-01,3.882e-01,7.954e-01,3.190e-01,6.458e-01,6.049e-01,3.542e-01,2.819e+00,1.442e+00,1.678e+00,8.572e-01,8.212e-01,1.218e+00,1.315e+00,9.761e-01,2.038e+00,1.815e+00,1.301e+00,7.922e-01,1.438e+01,4.151e+00,3.070e+00,1.281e+00,9.762e+00,1.613e+00,2.070e+00,2.775e-01,3.154e-01,1.157e+00,1.175e+00,9.538e-01,1.808e-01,3.630e-01,2.927e-01,9.478e-01,5.806e-01,1.814e+00,1.932e+00,1.485e+00,1.273e+00,1.917e+00,1.245e+00
Max Stress 1,Monitor Only, N/m^2,5.048e+08,7.110e+08,1.133e+09,7.766e+08,6.698e+08,9.890e+08,4.609e+08,6.629e+08,5.958e+08,1.543e+09,7.801e+08,5.110e+09,3.616e+08,2.987e+08,2.315e+09,2.050e+09,1.392e+09,1.449e+09,6.842e+08,8.269e+08,2.806e+09,9.552e+08,2.642e+08,1.536e+09,1.669e+09,6.228e+08,1.428e+09,1.151e+09,1.263e+09,1.135e+09,1.638e+09,1.347e+09,2.198e+09,4.292e+08,9.515e+08,1.370e+09,1.806e+09,1.905e+09,1.507e+09,1.565e+09,2.080e+09,1.789e+09,1.671e+09,2.112e+09,9.618e+08,1.348e+09,4.350e+08,1.187e+09,Rebuild Error,1.734e+09,4.124e+08,4.109e+08,Rebuild Error,1.032e+09,6.448e+08,3.645e+09,2.298e+09,4.577e+08,5.086e+08,2.038e+09,Simulation Eccentric Stiffness (3) fails.,1.397e+09,3.375e+08,1.097e+09,7.154e+08,3.640e+08,2.279e+09,4.273e+08,4.884e+08,5.164e+08,6.887e+08,1.740e+09,2.031e+09,1.915e+09,1.096e+09,4.780e+08,4.023e+08,2.146e+09,1.113e+09,1.453e+09,1.450e+09,6.982e+08,1.685e+09,3.546e+08,1.880e+09,2.250e+09,1.739e+09,2.779e+08,1.214e+09,4.736e+08,1.104e+09,1.917e+08,5.018e+08,3.077e+08,7.706e+08,2.353e+09,1.272e+09,1.207e+09,3.506e+08,1.343e+09,1.185e+09,5.783e+08,1.442e+09,1.281e+09,1.368e+09,1.299e+09,2.935e+08,5.737e+08,2.741e+08,9.652e+08,1.008e+09,6.795e+08,3.498e+08,4.713e+08,4.059e+08,4.558e+08,3.537e+08,1.044e+09,5.752e+07,1.993e+08,2.695e+08,6.461e+08,8.475e+07,2.852e+08,3.996e+08,1.657e+09,1.458e+09,3.977e+08,3.915e+08,4.823e+08,2.544e+09,1.267e+09,1.572e+09,4.853e+08,7.923e+08,2.535e+08,4.283e+08,3.097e+08,3.614e+08,4.317e+08,3.694e+08
Min FS 3,Monitor Only,,7.187e-01,1.906e+00,2.100e+00,2.870e+00,3.201e-01,6.267e-01,1.230e+00,6.540e-01,6.956e-01,8.569e-01,5.867e-01,5.635e-02,2.027e+00,3.758e+00,5.886e-01,5.993e-01,7.423e-01,9.117e-01,7.500e-01,3.405e-01,4.105e-01,1.398e+00,2.700e+00,3.888e-01,1.522e+00,2.212e+00,9.275e-01,1.073e+00,1.084e+00,1.104e+00,6.253e-01,5.886e-01,8.822e-01,6.353e-01,7.585e-01,1.012e+00,1.280e+00,1.182e+00,1.165e+00,1.558e+00,5.331e-01,9.210e-01,1.430e+00,6.858e-01,2.401e+00,9.992e-01,1.095e+00,1.024e+00,Rebuild Error,1.204e+00,1.710e+00,1.394e+00,Rebuild Error,1.266e+00,3.528e+00,3.436e-01,4.923e-01,9.642e-01,1.170e+00,5.726e-01,Simulation Eccentric Stiffness (3) fails.,9.223e-01,2.384e+00,2.095e+00,8.417e-01,9.412e-01,5.682e-01,2.639e+00,4.217e+00,1.727e+00,3.021e+00,7.535e-01,6.278e-01,7.319e-01,1.163e+00,2.642e+00,4.188e+00,5.994e-01,1.167e+00,9.126e-01,1.030e+00,5.473e-01,1.343e+00,8.086e-01,6.077e-01,5.360e-01,7.290e-01,8.087e+00,1.043e+00,3.153e+00,1.259e+00,3.630e+00,7.060e-01,2.200e+00,6.581e-01,5.341e-01,7.315e-01,9.638e-01,2.149e+00,1.010e+00,7.992e-01,9.710e-01,5.514e-01,1.874e+00,1.760e+00,9.985e-01,2.149e+00,1.365e+00,1.540e+00,1.052e+00,2.420e+00,1.116e+00,7.514e-01,9.337e-01,1.902e+00,2.440e+00,7.762e-01,2.259e+00,1.227e+01,4.652e+00,2.558e+00,9.327e-01,9.159e+00,1.569e+00,8.251e-01,8.380e-01,1.065e+00,1.304e+00,1.541e+00,5.068e-01,4.460e-01,2.519e-01,8.270e-01,1.028e+00,5.240e-01,1.902e+00,1.359e+00,1.880e+00,7.078e-01,1.323e+00,6.204e-01
Max Stress 3,Monitor Only, N/m^2,6.400e+08,2.413e+08,3.941e+08,2.883e+08,1.437e+09,7.340e+08,3.741e+08,7.034e+08,6.613e+08,5.368e+08,7.840e+08,8.163e+09,4.082e+08,1.224e+08,7.815e+08,7.675e+08,6.197e+08,5.045e+08,6.134e+08,1.351e+09,1.121e+09,3.290e+08,3.065e+08,1.183e+09,5.436e+08,2.080e+08,4.960e+08,4.286e+08,4.244e+08,4.168e+08,7.357e+08,7.815e+08,9.379e+08,7.241e+08,6.064e+08,4.546e+08,6.466e+08,6.998e+08,7.104e+08,5.309e+08,8.629e+08,4.994e+08,5.784e+08,6.707e+08,3.446e+08,4.604e+08,4.200e+08,4.490e+08,Rebuild Error,6.874e+08,2.690e+08,3.299e+08,Rebuild Error,3.634e+08,2.345e+08,1.339e+09,9.345e+08,4.771e+08,7.073e+08,8.034e+08,Simulation Eccentric Stiffness (3) fails.,4.987e+08,3.471e+08,3.949e+08,9.830e+08,4.887e+08,8.095e+08,3.135e+08,1.962e+08,4.791e+08,2.739e+08,6.105e+08,7.327e+08,6.285e+08,3.956e+08,3.131e+08,1.975e+08,7.675e+08,3.943e+08,5.040e+08,4.467e+08,1.512e+09,6.160e+08,5.689e+08,7.569e+08,8.583e+08,6.310e+08,1.023e+08,4.412e+08,2.624e+08,3.654e+08,2.279e+08,1.172e+09,2.091e+08,6.990e+08,8.612e+08,6.288e+08,4.773e+08,3.849e+08,4.553e+08,5.756e+08,4.737e+08,8.343e+08,4.414e+08,4.702e+08,4.607e+08,3.850e+08,6.061e+08,2.986e+08,7.864e+08,3.419e+08,7.416e+08,6.122e+08,4.927e+08,4.351e+08,3.391e+08,5.926e+08,3.662e+08,6.742e+07,1.778e+08,3.234e+08,8.871e+08,9.033e+07,2.933e+08,1.003e+09,5.489e+08,4.318e+08,3.527e+08,2.986e+08,9.077e+08,1.031e+09,1.826e+09,5.562e+08,4.477e+08,8.778e+08,2.418e+08,6.087e+08,2.447e+08,6.499e+08,6.252e+08,7.415e+08
Mass,Monitor Only, kg,3.86,10.34,2,2.92,5.11,6.97,6.9,2.71,4.58,5.11,2.71,2.41,3.27,4.24,2.74,6.77,6.96,5.36,3.59,2.02,3.37,5.82,3.53,4.4,2.01,6.68,5.88,5.73,6.44,6.77,8.2,5.63,2.15,4.32,5.93,5.5,3.51,2.88,1.8,2.33,3.76,7.17,2.46,4.2,4.47,4.28,8.22,3.82,Rebuild Error,4.15,5.7,5.61,Rebuild Error,8.3,4.64,3.01,4.15,3.76,3.36,7.55,Simulation Eccentric Stiffness (3) fails.,6.2,5.57,2.12,2.17,3.81,2.77,3.95,3.78,2.75,3.87,4.38,3.5,5.59,7.15,3.96,4.25,4.53,5.66,5.35,4.28,1.44,2.39,14.43,4.42,3.93,3.18,8.92,5.2,2.9,3.99,5.01,2.42,8.61,2.18,5.2,6.58,3.52,2.54,3.94,4.79,4.99,4.93,2.68,2.3,4.65,2.53,2.78,7.8,3.55,3,3.32,5.51,5.88,2.82,2.43,4.68,3.08,7.55,6.53,4.4,2.25,6.97,7.81,2.71,2.6,4.76,8.26,6.52,5.77,4.28,5.17,5.09,3.47,2.94,13.93,3.96,7.23,8.47,1.77,4.72
Dropout X Displacement,Monitor Only, m,-6.907e-03,5.633e-03,2.727e-02,1.881e-02,-7.031e-03,9.883e-03,-2.297e-03,-7.956e-03,-8.361e-03,-2.981e-03,-1.231e-02,-1.394e-02,-8.793e-03,-1.564e-03,3.432e-02,1.710e-02,9.050e-03,1.991e-02,-8.542e-03,-1.276e-02,4.378e-02,9.002e-03,-1.855e-03,2.089e-02,4.329e-02,5.472e-03,1.876e-02,1.183e-02,1.460e-02,1.244e-02,7.996e-03,1.037e-02,6.370e-02,-4.066e-03,1.046e-02,1.556e-02,5.038e-02,5.778e-02,4.502e-02,4.310e-02,2.646e-02,9.484e-03,3.863e-02,2.365e-02,1.798e-02,1.498e-02,-4.955e-03,1.459e-02,Rebuild Error,2.111e-02,-2.377e-03,-2.255e-03,Rebuild Error,1.299e-02,1.202e-02,6.334e-02,3.840e-02,-6.220e-03,-1.374e-02,2.248e-02,Simulation Eccentric Stiffness (3) fails.,1.762e-02,4.684e-03,2.389e-02,-1.673e-02,-3.930e-03,3.324e-02,-5.770e-03,7.918e-03,-7.150e-03,1.175e-02,2.367e-02,2.793e-02,2.876e-02,1.016e-02,-5.775e-03,6.639e-03,3.296e-02,1.451e-02,1.727e-02,2.166e-02,-1.881e-02,4.627e-02,-3.325e-03,2.117e-02,2.727e-02,2.098e-02,3.616e-03,1.546e-02,-3.292e-03,1.418e-02,-3.153e-03,-9.927e-03,2.169e-03,-1.189e-02,3.410e-02,9.511e-03,1.642e-02,-3.641e-03,1.836e-02,1.269e-02,-4.507e-03,2.068e-02,3.309e-02,3.689e-02,1.489e-02,-5.304e-03,-1.553e-02,-2.657e-03,1.865e-02,1.817e-02,-1.562e-02,-4.708e-03,-3.506e-03,-8.309e-03,-5.479e-03,-3.898e-03,3.169e-02,-7.573e-04,-3.994e-03,-3.953e-03,-1.929e-02,-1.115e-03,-2.213e-03,-4.668e-03,2.443e-02,1.396e-02,-2.230e-03,-1.763e-03,-2.458e-03,2.750e-02,-1.115e-02,1.911e-02,-4.898e-03,-1.249e-02,-1.816e-03,-6.106e-03,-1.733e-03,-9.106e-04,-1.128e-02,-1.722e-03
Dropout Y Displacement,Monitor Only, m,1.266e-02,-1.094e-02,-5.087e-02,-3.618e-02,1.253e-02,-2.077e-02,5.256e-03,1.135e-02,1.479e-02,2.887e-03,2.036e-02,2.889e-02,1.592e-02,1.376e-03,-6.172e-02,-4.755e-02,-2.724e-02,-3.724e-02,1.311e-02,2.702e-02,-8.753e-02,-1.761e-02,5.572e-03,-3.469e-02,-7.116e-02,-9.880e-03,-3.519e-02,-2.313e-02,-2.860e-02,-2.637e-02,-1.623e-02,-1.658e-02,-1.182e-01,9.233e-03,-2.020e-02,-3.269e-02,-1.067e-01,-1.224e-01,-8.811e-02,-8.137e-02,-5.467e-02,-4.248e-02,-7.314e-02,-5.233e-02,-3.512e-02,-2.691e-02,1.006e-02,-2.786e-02,Rebuild Error,-4.521e-02,4.593e-03,4.319e-03,Rebuild Error,-2.785e-02,-2.583e-02,-1.342e-01,-8.351e-02,1.215e-02,2.799e-02,-4.984e-02,Simulation Eccentric Stiffness (3) fails.,-3.373e-02,-9.705e-03,-4.830e-02,3.528e-02,8.404e-03,-6.717e-02,1.024e-02,-1.639e-02,1.563e-02,-2.373e-02,-5.431e-02,-5.560e-02,-5.438e-02,-2.377e-02,1.188e-02,-1.352e-02,-5.853e-02,-2.747e-02,-3.660e-02,-3.282e-02,2.673e-02,-9.853e-02,6.892e-03,-5.012e-02,-6.392e-02,-4.089e-02,-8.034e-03,-2.810e-02,6.725e-03,-2.458e-02,7.215e-03,1.951e-02,-4.283e-03,1.488e-02,-8.071e-02,-2.183e-02,-2.931e-02,5.812e-03,-2.977e-02,-2.437e-02,8.999e-03,-3.859e-02,-6.147e-02,-5.894e-02,-3.560e-02,1.024e-02,3.207e-02,5.396e-03,-3.185e-02,-3.327e-02,2.772e-02,7.854e-03,7.752e-03,1.582e-02,1.114e-02,8.722e-03,-6.226e-02,1.544e-03,6.276e-03,5.971e-03,3.878e-02,2.271e-03,3.377e-03,7.505e-03,-3.625e-02,-2.847e-02,3.179e-03,3.646e-03,3.764e-03,-5.184e-02,2.240e-02,-3.603e-02,7.531e-03,1.919e-02,2.817e-03,8.052e-03,2.377e-03,1.529e-03,2.397e-02,2.874e-03
BB X Displacement,Monitor Only, m,-7.509e-03,6.973e-03,3.337e-02,2.198e-02,-7.639e-03,1.215e-02,-2.590e-03,-7.813e-03,-9.199e-03,-2.655e-03,-1.335e-02,-1.529e-02,-9.594e-03,-1.427e-03,4.121e-02,2.067e-02,1.164e-02,2.406e-02,-9.112e-03,-1.388e-02,5.269e-02,1.089e-02,-2.410e-03,2.532e-02,5.110e-02,6.687e-03,2.309e-02,1.431e-02,1.696e-02,1.482e-02,9.610e-03,1.217e-02,7.713e-02,-4.480e-03,1.284e-02,1.875e-02,5.866e-02,6.825e-02,5.460e-02,4.947e-02,3.124e-02,1.463e-02,4.551e-02,2.818e-02,2.138e-02,1.803e-02,-5.456e-03,1.783e-02,Rebuild Error,2.540e-02,-2.677e-03,-2.572e-03,Rebuild Error,1.539e-02,1.463e-02,7.337e-02,4.578e-02,-6.734e-03,-1.475e-02,2.593e-02,Simulation Eccentric Stiffness (3) fails.,2.016e-02,5.910e-03,2.868e-02,-1.844e-02,-4.353e-03,3.993e-02,-6.161e-03,9.582e-03,-7.978e-03,1.434e-02,2.863e-02,3.337e-02,3.451e-02,1.208e-02,-6.470e-03,8.011e-03,3.975e-02,1.689e-02,2.058e-02,2.565e-02,-1.809e-02,5.642e-02,-2.725e-03,2.513e-02,3.187e-02,2.534e-02,4.415e-03,1.790e-02,-3.887e-03,1.692e-02,-3.507e-03,-1.012e-02,2.685e-03,-1.092e-02,4.066e-02,1.144e-02,1.933e-02,-4.029e-03,2.144e-02,1.524e-02,-4.977e-03,2.596e-02,3.975e-02,4.229e-02,1.848e-02,-5.565e-03,-1.705e-02,-2.892e-03,2.191e-02,2.178e-02,-1.588e-02,-4.817e-03,-3.726e-03,-8.575e-03,-6.517e-03,-4.361e-03,3.726e-02,-7.941e-04,-3.660e-03,-3.740e-03,-2.109e-02,-1.212e-03,-2.275e-03,-4.582e-03,2.829e-02,1.702e-02,-2.195e-03,-1.859e-03,-2.591e-03,3.138e-02,-1.193e-02,2.237e-02,-5.240e-03,-1.238e-02,-1.790e-03,-6.249e-03,-1.744e-03,-9.976e-04,-1.271e-02,-1.862e-03
BB Y Displacement,Monitor Only, m,7.375e-03,-5.250e-03,-2.470e-02,-1.965e-02,7.138e-03,-1.034e-02,3.129e-03,5.873e-03,7.946e-03,7.982e-04,1.068e-02,1.780e-02,8.537e-03,3.716e-04,-2.999e-02,-2.947e-02,-1.697e-02,-1.863e-02,6.589e-03,1.712e-02,-4.875e-02,-8.691e-03,2.812e-03,-1.565e-02,-3.315e-02,-4.574e-03,-1.752e-02,-1.235e-02,-1.476e-02,-1.495e-02,-8.826e-03,-7.329e-03,-5.942e-02,5.829e-03,-1.031e-02,-1.543e-02,-5.790e-02,-6.585e-02,-4.716e-02,-4.110e-02,-3.185e-02,-1.597e-02,-3.978e-02,-2.919e-02,-1.883e-02,-1.316e-02,5.376e-03,-1.444e-02,Rebuild Error,-2.606e-02,2.181e-03,2.105e-03,Rebuild Error,-1.568e-02,-1.425e-02,-7.727e-02,-4.701e-02,6.298e-03,1.522e-02,-2.893e-02,Simulation Eccentric Stiffness (3) fails.,-1.852e-02,-5.227e-03,-2.684e-02,2.159e-02,5.030e-03,-3.459e-02,5.203e-03,-9.050e-03,8.739e-03,-1.288e-02,-2.889e-02,-3.023e-02,-2.545e-02,-1.380e-02,5.445e-03,-7.492e-03,-3.049e-02,-1.454e-02,-1.875e-02,-1.373e-02,1.430e-02,-5.378e-02,3.496e-03,-3.029e-02,-3.895e-02,-2.190e-02,-4.398e-03,-1.546e-02,3.227e-03,-1.148e-02,3.823e-03,1.129e-02,-2.135e-03,7.496e-03,-4.598e-02,-1.308e-02,-1.564e-02,2.924e-03,-1.420e-02,-1.149e-02,5.134e-03,-1.917e-02,-3.106e-02,-2.965e-02,-1.698e-02,5.585e-03,1.757e-02,2.955e-03,-1.537e-02,-1.501e-02,1.586e-02,4.438e-03,4.720e-03,7.709e-03,5.732e-03,5.492e-03,-3.312e-02,7.027e-04,2.860e-03,2.540e-03,2.105e-02,1.134e-03,1.781e-03,4.057e-03,-1.652e-02,-1.530e-02,1.624e-03,2.111e-03,1.836e-03,-2.580e-02,1.223e-02,-1.985e-02,3.662e-03,1.063e-02,1.342e-03,3.591e-03,1.223e-03,7.515e-04,1.421e-02,1.367e-03
BB Z Displacement,Monitor Only, m,2.104e-03,3.363e-04,2.929e-03,2.261e-03,1.539e-03,1.406e-03,7.036e-04,8.922e-04,1.392e-03,4.259e-04,2.073e-03,3.719e-03,1.667e-03,4.479e-04,2.373e-03,2.544e-03,1.477e-03,9.556e-04,1.259e-03,2.582e-03,1.423e-03,9.912e-04,1.296e-03,2.187e-03,3.112e-03,6.700e-04,1.023e-03,9.974e-04,1.158e-03,7.427e-04,8.864e-04,1.360e-03,2.505e-03,1.564e-03,1.691e-03,1.265e-03,1.884e-03,2.740e-03,4.507e-03,2.103e-03,1.454e-03,2.338e-03,2.755e-03,1.419e-03,9.811e-04,1.327e-03,5.202e-04,2.067e-03,Rebuild Error,1.247e-03,8.551e-04,1.123e-03,Rebuild Error,8.817e-04,1.170e-03,1.766e-03,1.519e-03,1.319e-03,2.503e-03,1.694e-03,Simulation Eccentric Stiffness (3) fails.,8.544e-04,2.436e-03,2.871e-03,2.931e-03,9.754e-04,1.705e-03,1.234e-03,6.681e-04,3.473e-03,2.295e-03,1.941e-03,1.526e-03,1.163e-03,7.357e-04,7.674e-04,7.320e-04,1.766e-03,9.906e-04,1.417e-03,1.376e-03,1.446e-03,3.374e-03,1.274e-03,1.280e-03,1.480e-03,2.603e-03,1.857e-04,6.630e-04,1.526e-03,1.772e-03,8.507e-04,2.733e-03,7.095e-04,1.242e-03,1.391e-03,1.615e-03,1.955e-03,1.386e-03,1.497e-03,8.363e-04,1.549e-03,2.919e-03,2.542e-03,2.835e-03,1.371e-03,1.444e-03,2.136e-03,7.091e-04,2.073e-03,1.052e-03,2.700e-03,9.657e-04,9.092e-04,1.392e-03,2.733e-03,8.241e-04,2.464e-03,4.330e-04,5.450e-04,7.723e-04,3.908e-03,4.895e-04,3.833e-04,1.459e-03,1.505e-03,1.380e-03,5.059e-04,5.086e-04,6.259e-04,2.112e-03,1.243e-03,1.711e-03,1.386e-03,2.463e-03,8.125e-05,1.018e-03,4.300e-04,2.924e-04,2.659e-03,6.715e-04
BBR Y Displacement,Monitor Only, m,-9.409e-03,-1.815e-03,-8.904e-03,-7.239e-03,-8.706e-03,-3.732e-03,-4.680e-03,-5.808e-03,-8.425e-03,-4.859e-04,-1.028e-02,-2.513e-02,-9.129e-03,-2.099e-04,-1.055e-02,-1.166e-02,-6.852e-03,-6.606e-03,-5.698e-03,-2.716e-02,-1.820e-02,-3.052e-03,-3.796e-03,-5.501e-03,-1.101e-02,-1.603e-03,-6.210e-03,-4.598e-03,-5.311e-03,-5.638e-03,-3.336e-03,-2.569e-03,-2.103e-02,-9.171e-03,-3.823e-03,-5.299e-03,-2.107e-02,-2.407e-02,-1.773e-02,-1.424e-02,-1.230e-02,-4.731e-03,-1.487e-02,-1.088e-02,-6.838e-03,-4.667e-03,-5.479e-03,-5.410e-03,Rebuild Error,-1.004e-02,-2.068e-03,-2.096e-03,Rebuild Error,-5.918e-03,-5.325e-03,-2.886e-02,-1.768e-02,-6.360e-03,-1.675e-02,-1.095e-02,Simulation Eccentric Stiffness (3) fails.,-6.751e-03,-2.259e-03,-1.032e-02,-3.015e-02,-7.139e-03,-1.239e-02,-5.514e-03,-3.445e-03,-1.045e-02,-5.006e-03,-1.039e-02,-1.115e-02,-8.623e-03,-5.260e-03,-5.021e-03,-2.874e-03,-1.108e-02,-5.361e-03,-6.897e-03,-4.523e-03,-1.795e-02,-2.008e-02,-3.842e-03,-1.191e-02,-1.526e-02,-8.271e-03,-1.627e-03,-5.764e-03,-2.861e-03,-4.058e-03,-4.284e-03,-1.446e-02,-1.004e-03,-6.896e-03,-1.715e-02,-5.262e-03,-5.972e-03,-2.810e-03,-5.031e-03,-3.951e-03,-6.228e-03,-7.145e-03,-1.118e-02,-1.065e-02,-6.157e-03,-6.714e-03,-1.914e-02,-3.344e-03,-5.526e-03,-5.174e-03,-1.933e-02,-4.532e-03,-6.723e-03,-6.786e-03,-5.937e-03,-8.959e-03,-1.215e-02,-7.493e-04,-2.135e-03,-1.891e-03,-2.246e-02,-1.175e-03,-1.962e-03,-8.743e-03,-5.707e-03,-5.883e-03,-1.631e-03,-2.755e-03,-1.311e-03,-9.023e-03,-1.327e-02,-7.590e-03,-3.245e-03,-1.213e-02,-1.237e-03,-1.981e-03,-1.462e-03,-7.555e-04,-1.872e-02,-1.584e-03
BBL Y Displacement,Monitor Only, m,-8.644e-03,-1.685e-03,-8.030e-03,-6.596e-03,-8.426e-03,-3.117e-03,-4.348e-03,-5.419e-03,-7.873e-03,-1.162e-04,-9.530e-03,-2.374e-02,-8.426e-03,-2.199e-05,-9.777e-03,-1.083e-02,-6.487e-03,-6.251e-03,-5.203e-03,-2.602e-02,-1.760e-02,-2.755e-03,-3.395e-03,-4.441e-03,-9.935e-03,-1.434e-03,-5.837e-03,-4.258e-03,-4.863e-03,-5.361e-03,-2.890e-03,-1.925e-03,-2.007e-02,-8.625e-03,-3.166e-03,-4.914e-03,-2.034e-02,-2.316e-02,-1.590e-02,-1.344e-02,-1.170e-02,-4.326e-03,-1.384e-02,-1.055e-02,-6.409e-03,-4.259e-03,-5.235e-03,-4.799e-03,Rebuild Error,-9.544e-03,-1.784e-03,-1.692e-03,Rebuild Error,-5.541e-03,-4.989e-03,-2.802e-02,-1.706e-02,-5.921e-03,-1.589e-02,-1.037e-02,Simulation Eccentric Stiffness (3) fails.,-6.399e-03,-1.280e-03,-9.293e-03,-2.889e-02,-6.691e-03,-1.179e-02,-4.987e-03,-3.234e-03,-9.512e-03,-4.329e-03,-9.693e-03,-1.056e-02,-8.195e-03,-4.973e-03,-4.692e-03,-2.644e-03,-1.044e-02,-4.977e-03,-6.254e-03,-4.033e-03,-1.717e-02,-1.885e-02,-3.475e-03,-1.135e-02,-1.461e-02,-7.445e-03,-1.544e-03,-5.456e-03,-2.511e-03,-3.480e-03,-4.006e-03,-1.355e-02,-7.403e-04,-6.313e-03,-1.665e-02,-4.732e-03,-5.261e-03,-2.262e-03,-4.535e-03,-3.679e-03,-5.652e-03,-6.232e-03,-1.032e-02,-9.540e-03,-5.697e-03,-6.152e-03,-1.837e-02,-3.088e-03,-4.410e-03,-4.750e-03,-1.830e-02,-4.046e-03,-6.349e-03,-6.251e-03,-5.216e-03,-8.528e-03,-1.121e-02,-5.614e-04,-1.921e-03,-1.597e-03,-2.136e-02,-1.024e-03,-1.796e-03,-7.970e-03,-5.120e-03,-5.401e-03,-1.364e-03,-2.539e-03,-7.184e-04,-8.470e-03,-1.288e-02,-6.937e-03,-2.803e-03,-1.117e-02,-1.108e-03,-1.289e-03,-1.268e-03,-5.413e-04,-1.777e-02,-1.236e-03
